Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 5 (N) Champ B			-2					0	Act 5 (N) Citem B	1	Act 5 (N) Cpot B	2																				0
Act 5 (N) Champ C			-2					0	Act 5 (N) Citem C	1	Act 5 (N) Cpot C	2																				0
Act 1 (H) Champ A			-2					0	Act 1 (H) Citem A	1	Act 1 (H) Cpot A	3																				0
Act 1 (H) Champ B			-2					0	Act 1 (H) Citem B	1	Act 1 (H) Cpot B	3																				0
Act 1 (H) Champ C			-2					0	Act 1 (H) Citem C	1	Act 1 (H) Cpot C	3																				0
Act 2 (H) Champ A			-2					0	Act 2 (H) Citem A	1	Act 2 (H) Cpot A	3																				0
Act 2 (H) Champ B			-2					0	Act 2 (H) Citem B	1	Act 2 (H) Cpot B	3																				0
Act 2 (H) Champ C			-2					0	Act 2 (H) Citem C	1	Act 2 (H) Cpot C	3																				0
Act 3 (H) Champ A			-2					0	Act 3 (H) Citem A	1	Act 3 (H) Cpot A	3																				0
Act 3 (H) Champ B			-2					0	Act 3 (H) Citem B	1	Act 3 (H) Cpot B	3																				0
Act 3 (H) Champ C			-2					0	Act 3 (H) Citem C	1	Act 3 (H) Cpot C	3																				0
Act 4 (H) Champ A			-2					0	Act 4 (H) Citem A	1	Act 4 (H) Cpot A	3																				0
Act 4 (H) Champ B			-2					0	Act 4 (H) Citem B	1	Act 4 (H) Cpot B	3																				0
Act 5 (H) Champ A			-2					0	Act 5 (H) Citem A	1	Act 5 (H) Cpot A	3																				0
Act 5 (H) Champ B			-2					0	Act 5 (H) Citem B	1	Act 5 (H) Cpot B	3																				0
Act 5 (H) Champ C			-2					0	Act 5 (H) Citem C	1	Act 5 (H) Cpot C	3																				0
Act 1 Uitem A			1	800	800	800	1024	0	Act 1 Equip A	58	Act 1 Good	4																				0
Act 1 Uitem B			1	800	800	800	1024	0	Act 1 Equip B	58	Act 1 Good	4																				0
Act 1 Uitem C			1	800	800	800	1024	0	Act 1 Equip C	58	Act 1 Good	4																				0
Act 2 Uitem A			1	800	800	800	1024	0	Act 2 Equip A	58	Act 2 Good	4																				0
Act 2 Uitem B			1	800	800	800	1024	0	Act 2 Equip B	58	Act 2 Good	4																				0
Act 2 Uitem C			1	800	800	800	1024	0	Act 2 Equip C	58	Act 3 Good	4																				0
Act 3 Uitem A			1	800	800	800	1024	0	Act 3 Equip A	58	Act 3 Good	4																				0
Act 3 Uitem B			1	800	800	800	1024	0	Act 3 Equip B	58	Act 3 Good	4																				0
Act 3 Uitem C			1	800	800	800	1024	0	Act 3 Equip C	58	Act 3 Good	4																				0
Act 4 Uitem A			1	800	800	800	1024	0	Act 4 Equip A	58	Act 4 Good	4																				0
Act 4 Uitem B			1	800	800	800	1024	0	Act 4 Equip B	58	Act 4 Good	4																				0
Act 5 Uitem A			1	800	800	800	1024	0	Act 5 Equip A	58	Act 5 Good	4																				0
Act 5 Uitem B			1	800	800	800	1024	0	Act 5 Equip B	58	Act 5 Good	4																				0
Act 5 Uitem C			1	800	800	800	1024	0	Act 5 Equip C	58	Act 5 Good	4																				0
Act 1 (N) Uitem A			1	800	800	800	1024	0	Act 1 (N) Equip A	58	Act 1 (N) Good	4																				0
Act 1 (N) Uitem B			1	800	800	800	1024	0	Act 1 (N) Equip B	58	Act 1 (N) Good	4																				0
Act 1 (N) Uitem C			1	800	800	800	1024	0	Act 1 (N) Equip B	58	Act 1 (N) Good	4																				0
Act 2 (N) Uitem A			1	800	800	800	1024	0	Act 2 (N) Equip A	58	Act 2 (N) Good	4																				0
Act 2 (N) Uitem B			1	800	800	800	1024	0	Act 2 (N) Equip B	58	Act 2 (N) Good	4																				0
Act 2 (N) Uitem C			1	800	800	800	1024	0	Act 2 (N) Equip B	58	Act 2 (N) Good	4																				0
Act 3 (N) Uitem A			1	800	800	800	1024	0	Act 3 (N) Equip A	58	Act 3 (N) Good	4																				0
Act 3 (N) Uitem B			1	800	800	800	1024	0	Act 3 (N) Equip B	58	Act 3 (N) Good	4																				0
Act 3 (N) Uitem C			1	800	800	800	1024	0	Act 3 (N) Equip B	58	Act 3 (N) Good	4																				0
Act 4 (N) Uitem A			1	800	800	800	1024	0	Act 4 (N) Equip A	58	Act 4 (N) Good	4																				0
Act 4 (N) Uitem B			1	800	800	800	1024	0	Act 4 (N) Equip B	58	Act 4 (N) Good	4																				0
Act 5 (N) Uitem A			1	800	800	800	1024	0	Act 5 (N) Equip A	58	Act 5 (N) Good	4																				0
Act 5 (N) Uitem B			1	800	800	800	1024	0	Act 5 (N) Equip B	58	Act 5 (N) Good	4																				0
Act 5 (N) Uitem C			1	800	800	800	1024	0	Act 5 (N) Equip C	58	Act 5 (N) Good	4																				0
Act 1 (H) Uitem A			1	800	800	800	1024	0	Act 1 (H) Equip A	58	Act 1 (H) Good	4																				0
Act 1 (H) Uitem B			1	800	800	800	1024	0	Act 1 (H) Equip B	58	Act 1 (H) Good	4																				0
Act 1 (H) Uitem C			1	800	800	800	1024	0	Act 1 (H) Equip B	58	Act 1 (H) Good	4																				0
Act 2 (H) Uitem A			1	800	800	800	1024	0	Act 2 (H) Equip A	58	Act 2 (H) Good	4																				0
Act 2 (H) Uitem B			1	800	800	800	1024	0	Act 2 (H) Equip B	58	Act 2 (H) Good	4																				0
Act 2 (H) Uitem C			1	800	800	800	1024	0	Act 2 (H) Equip B	58	Act 2 (H) Good	4																				0
Act 3 (H) Uitem A			1	800	800	800	1024	0	Act 3 (H) Equip A	58	Act 3 (H) Good	4																				0
Act 3 (H) Uitem B			1	800	800	800	1024	0	Act 3 (H) Equip B	58	Act 3 (H) Good	4																				0
Act 3 (H) Uitem C			1	800	800	800	1024	0	Act 3 (H) Equip B	58	Act 3 (H) Good	4																				0
Act 4 (H) Uitem A			1	800	800	800	1024	0	Act 4 (H) Equip A	58	Act 4 (H) Good	4																				0
Act 4 (H) Uitem B			1	800	800	800	1024	0	Act 4 (H) Equip B	58	Act 4 (H) Good	4																				0
Act 5 (H) Uitem A			1	800	800	800	1024	0	Act 5 (H) Equip A	58	Act 5 (H) Good	4																				0
Act 5 (H) Uitem B			1	800	800	800	1024	0	Act 5 (H) Equip B	58	Act 5 (H) Good	4																				0
Act 5 (H) Uitem C			1	800	800	800	1024	0	Act 5 (H) Equip C	58	Act 5 (H) Good	4																				0
Act 1 Unique A			-3					0	Act 1 Uitem A	1	Act 1 Cpot A	2																				0
Act 1 Unique B			-3					0	Act 1 Uitem B	1	Act 1 Cpot B	2																				0
Act 1 Unique C			-3					0	Act 1 Uitem C	1	Act 1 Cpot C	2																				0
Act 2 Unique A			-3					0	Act 2 Uitem A	1	Act 2 Cpot A	2																				0
Act 2 Unique B			-3					0	Act 2 Uitem B	1	Act 2 Cpot B	2																				0
Act 2 Unique C			-3					0	Act 2 Uitem C	1	Act 2 Cpot C	2																				0
Act 3 Unique A			-3					0	Act 3 Uitem A	1	Act 3 Cpot A	2																				0
Act 3 Unique B			-3					0	Act 3 Uitem B	1	Act 3 Cpot B	2																				0
Act 3 Unique C			-3					0	Act 3 Uitem C	1	Act 3 Cpot C	2																				0
Act 4 Unique A			-3					0	Act 4 Uitem A	1	Act 4 Cpot A	2																				0
Act 4 Unique B			-3					0	Act 4 Uitem B	1	Act 4 Cpot B	2																				0
Act 5 Unique A			-3					0	Act 5 Uitem A	1	Act 5 Cpot A	2																				0
Act 5 Unique B			-3					0	Act 5 Uitem B	1	Act 5 Cpot B	2																				0
Act 5 Unique C			-3					0	Act 5 Uitem C	1	Act 5 Cpot C	2																				0
Act 1 (N) Unique A			-3					0	Act 1 (N) Uitem A	1	Act 1 (N) Cpot A	2																				0
Act 1 (N) Unique B			-3					0	Act 1 (N) Uitem B	1	Act 1 (N) Cpot B	2																				0
Act 1 (N) Unique C			-3					0	Act 1 (N) Uitem C	1	Act 1 (N) Cpot C	2																				0
Act 2 (N) Unique A			-3					0	Act 2 (N) Uitem A	1	Act 2 (N) Cpot A	2																				0
Act 2 (N) Unique B			-3					0	Act 2 (N) Uitem B	1	Act 2 (N) Cpot B	2																				0
Act 2 (N) Unique C			-3					0	Act 2 (N) Uitem C	1	Act 2 (N) Cpot C	2																				0
Act 3 (N) Unique A			-3					0	Act 3 (N) Uitem A	1	Act 3 (N) Cpot A	2																				0
Act 3 (N) Unique B			-3					0	Act 3 (N) Uitem B	1	Act 3 (N) Cpot B	2																				0
Act 3 (N) Unique C			-3					0	Act 3 (N) Uitem C	1	Act 3 (N) Cpot C	2																				0
Act 4 (N) Unique A			-3					0	Act 4 (N) Uitem A	1	Act 4 (N) Cpot A	2																				0
Act 4 (N) Unique B			-3					0	Act 4 (N) Uitem B	1	Act 4 (N) Cpot B	2																				0
Act 5 (N) Unique A			-3					0	Act 5 (N) Uitem A	1	Act 5 (N) Cpot A	2																				0
Act 5 (N) Unique B			-3					0	Act 5 (N) Uitem B	1	Act 5 (N) Cpot B	2																				0
Act 5 (N) Unique C			-3					0	Act 5 (N) Uitem C	1	Act 5 (N) Cpot C	2																				0
Act 1 (H) Unique A			-3					0	Act 1 (H) Uitem A	1	Act 1 (H) Cpot A	2																				0
Act 1 (H) Unique B			-3					0	Act 1 (H) Uitem B	1	Act 1 (H) Cpot B	2																				0
Act 1 (H) Unique C			-3					0	Act 1 (H) Uitem C	1	Act 1 (H) Cpot C	2																				0
Act 2 (H) Unique A			-3					0	Act 2 (H) Uitem A	1	Act 2 (H) Cpot A	2																				0
Act 2 (H) Unique B			-3					0	Act 2 (H) Uitem B	1	Act 2 (H) Cpot B	2																				0
Act 2 (H) Unique C			-3					0	Act 2 (H) Uitem C	1	Act 2 (H) Cpot C	2																				0
Act 3 (H) Unique A			-3					0	Act 3 (H) Uitem A	1	Act 3 (H) Cpot A	2																				0
Act 3 (H) Unique B			-3					0	Act 3 (H) Uitem B	1	Act 3 (H) Cpot B	2																				0
Act 3 (H) Unique C			-3					0	Act 3 (H) Uitem C	1	Act 3 (H) Cpot C	2																				0
Act 4 (H) Unique A			-3					0	Act 4 (H) Uitem A	1	Act 4 (H) Cpot A	2																				0
Act 4 (H) Unique B			-3					0	Act 4 (H) Uitem B	1	Act 4 (H) Cpot B	2																				0
Act 5 (H) Unique A			-3					0	Act 5 (H) Uitem A	1	Act 5 (H) Cpot A	2																				0
Act 5 (H) Unique B			-3					0	Act 5 (H) Uitem B	1	Act 5 (H) Cpot B	2																				0
Act 5 (H) Unique C			-3					0	Act 5 (H) Uitem C	1	Act 5 (H) Cpot C	2																				0
Quill 1			1					83	gld	19	Act 1 Junk	19																				0
Quill 2			1					83	gld	19	Act 1 Junk	19																				0
Quill 3			1					83	gld	19	Act 1 Junk	19	Act 1 Good	1																		0
Quill 4			1					83	gld	19	Act 1 Junk	19	Act 1 Good	1																		0
Quill 5			1					83	gld	19	Act 3 Junk	19	Act 3 Good	1																		0
Quill 1 (N)			1					83	gld	19	Act 1 (N) Junk	19																				0
Quill 2 (N)			1					83	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1																		0
Quill 3 (N)			1					83	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1																		0
Quill 4 (N)			1					83	gld	19	Act 1 (N) Junk	19	Act 1 (N) Good	1																		0
Quill 5 (N)			1					83	gld	19	Act 3 (N) Junk	19	Act 3 (N) Good	1																		0
Quill 1 (H)			1					83	gld	19	Act 1 (H) Junk	19																				0
Quill 2 (H)			1					83	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3																		0
Quill 3 (H)			1					83	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3																		0
Quill 4 (H)			1					83	gld	19	Act 1 (H) Junk	19	Act 1 (H) Good	3																		0
Quill 5 (H)			1					83	gld	19	Act 3 (H) Junk	19	Act 3 (H) Good	3																		0
Swarm 1			1					83	Potion 2	12	Misc 1	6	Act 2 Good	1	Act 2 Magic A	6																0
Swarm 2			1					83	Potion 3	12	Misc 2	6	Act 3 Good	1	Act 3 Magic A	6																0
Swarm 1 (N)			1					83	Potion 6	12	Misc 2	6	Act 2 (N) Good	1	Act 2 (N) Magic A	6																0
Swarm 2 (N)			1					83	Potion 6	12	Misc 2	6	Act 3 (N) Good	1	Act 3 (N) Magic A	6																0
Swarm 1 (H)			1					83	Potion 6	12	Misc 2	6	Act 2 (H) Good	1	Act 2 (H) Magic A	6																0
Swarm 2 (H)			1					83	Potion 6	12	Misc 2	6	Act 3 (H) Good	1	Act 3 (H) Magic A	6																0
Andariel			7	983	983	983	983	19	"gld,mul=1280"	11	Act 2 Equip A	19	Act 2 Junk	15	Act 2 Good	3																0
Andariel (N)			7	983	983	983	920	19	"gld,mul=1536"	11	Act 2 (N) Equip A	19	Act 2 (N) Junk	15	Act 2 (N) Good	3																0
Andariel (H)			7	983	983	983	900	19	"gld,mul=2048"	11	Act 2 (H) Equip A	19	Act 2 (H) Junk	15	Act 2 (H) Good	3																0
Andarielq			7	983	972	920	900	5	Act 2 Equip A	19	Act 2 Junk	15	Act 2 Good	3	Sets (Norm)	1																0
Andarielq (N)			8	983	972	920	700	4	Act 2 (N) Equip A	19	Act 2 (N) Junk	15	Act 2 (N) Good	3	Sets (NM)	1																0
Andarielq (H)			9	983	972	920	500	2	Act 2 (H) Equip A	19	Act 2 (H) Junk	15	Act 2 (H) Good	3	Sets (H)	1																0
Duriel - Base			7	983	983	983	983	19	"gld,mul=1280"	11	Act 3 Equip A	19	Act 3 Junk	15	Act 3 Good	3																0
Duriel (N) - Base			7	983	983	983	920	19	"gld,mul=1536"	11	Act 3 (N) Equip A	19	Act 3 (N) Junk	15	Act 3 (N) Good	3																0
Duriel (H) - Base			7	983	983	983	900	19	"gld,mul=2048"	11	Act 3 (H) Equip A	19	Act 3 (H) Junk	15	Act 3 (H) Good	3																0
Durielq - Base			7	983	972	920	900	5	Act 3 Equip A	19	Act 3 Junk	15	Act 3 Good	3	Sets (Norm)	1																0
Durielq (N) - Base			8	983	972	920	700	4	Act 3 (N) Equip A	19	Act 3 (N) Junk	15	Act 3 (N) Good	3	Sets (NM)	1																0
Durielq (H) - Base			9	983	972	920	500	2	Act 3 (H) Equip A	19	Act 3 (H) Junk	15	Act 3 (H) Good	3	Sets (H)	1																0
Radament			5	972	920	983	900	19	"gld,mul=1280"	11	Act 3 Equip B	19	Act 3 Junk	15	Act 3 Good	3																0
Radament (N)			6	972	920	983	700	19	"gld,mul=1536"	11	Act 3 (N) Equip B	19	Act 3 (N) Junk	15	Act 3 (N) Good	3																0
Radament (H)			7	972	920	983	500	19	"gld,mul=2048"	11	Act 3 (H) Equip C	19	Act 3 (H) Junk	15	Act 3 (H) Good	3																0
Flying Scimitar			1					66	Act 2 Good	3	scm	57																				0
Flying Scimitar (N)			1					66	Act 2 (N) Good	3	scm	25	9sm	32																		0
Flying Scimitar (H)			1					66	Act 2 (H) Good	3	scm	7	9sm	18	7sm	32																0
Mephisto			7	983	983	983	983	15	"gld,mul=1280"	5	Act 4 Equip A	52	Act 4 Junk	5	Act 4 Good	3																0
Mephisto (N)			7	983	983	983	920	15	"gld,mul=1536"	5	Act 4 (N) Equip A	52	Act 4 (N) Junk	5	Act 4 (N) Good	3																0
Mephisto (H)			7	983	983	983	900	15	"gld,mul=2048"	5	Act 4 (H) Equip A	52	Act 4 (H) Junk	5	Act 4 (H) Good	3																0
Mephistoq			7	983	972	920	900	5	Act 4 Equip A	52	Act 4 Junk	5	Act 4 Good	3	Sets (Norm)	1																0
Mephistoq (N)			8	983	972	920	700	4	Act 4 (N) Equip A	52	Act 4 (N) Junk	5	Act 4 (N) Good	3	Sets (NM)	1																0
Mephistoq (H)			9	983	972	920	500	2	Act 4 (H) Equip A	52	Act 4 (H) Junk	5	Act 4 (H) Good	3	Sets (H)	1																0
Diablo			7	983	983	983	983	15	"gld,mul=1280"	5	Act 5 Equip A	52	Act 5 Junk	5	Act 5 Good	3																0
Diablo (N)			7	983	983	983	920	15	"gld,mul=1536"	5	Act 5 (N) Equip A	52	Act 5 (N) Junk	5	Act 5 (N) Good	3																0
Diablo (H)			7	983	983	983	900	15	"gld,mul=2048"	5	Act 5 (H) Equip A	52	Act 5 (H) Junk	5	Act 5 (H) Good	3																0
Diabloq			7	983	920	880	900	5	Act 5 Equip A	52	Act 5 Junk	5	Act 5 Good	3	Sets (Norm)	1																0
Diabloq (N)			8	983	920	880	700	2	Act 5 (N) Equip A	52	Act 5 (N) Junk	5	Act 5 (N) Good	3	Sets (NM)	1																0
Diabloq (H)			9	983	920	880	500	1	Act 5 (H) Equip A	52	Act 5 (H) Junk	5	Act 5 (H) Good	3	Sets (H)	1																0
Summoner			5	900	900	972	983	19	"gld,mul=1280"	9	Act 2 Equip C	15	Act 3 Junk	5	Act 2 Good	3	Act 3 Magic A	4														0
Summoner (N)			5	900	900	972	920	19	"gld,mul=1536"	9	Act 2 (N) Equip C	15	Act 3 (N) Junk	5	Act 2 (N) Good	3	Act 3 (N) Magic A	4														0
Summoner (H)			5	900	900	972	900	19	"gld,mul=2048"	9	Act 2 (H) Equip C	15	Act 3 (H) Junk	5	Act 2 (H) Good	3	Act 3 (H) Magic A	4														0
Council			3	650	800	800	983	19	"gld,mul=1280"	9	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3	Act 4 Magic A	4														0
Council (N)			3	650	800	800	920	19	"gld,mul=1536"	9	Act 4 (N) Equip A	15	Act 4 (N) Junk	5	Act 4 (N) Good	3	Act 4 (N) Magic A	4														0
Council (H)			3	650	800	800	900	19	"gld,mul=2048"	9	Act 4 (H) Equip A	15	Act 4 (H) Junk	5	Act 4 (H) Good	3	Act 4 (H) Magic A	4														0
Griswold			6					0	Act 1 Uitem C	1	Act 1 Melee B	2	box	2																		0
Griswold (N)			-3					0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																				0
Griswold (H)			-3					0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2																				0
Cow			1					200	gld	38	Act 5 Equip A	38	Act 5 Junk	38	Act 5 Good	6	zzz	2														0
Cow (N)			1					180	gld	38	Act 5 (N) Equip A	38	Act 5 (N) Junk	38	Act 5 (N) Good	6	zzz	2														0
Cow (H)			1					160	gld	38	Act 5 (H) Equip B	38	Act 5 (H) Junk	38	Act 5 (H) Good	6	zzz	2														0
Trapped Soul			1					66	gld	19	Act 4 Equip A	8	Act 4 Junk	33																		0
Trapped Soul (N)			1					66	gld	19	Act 4 (N) Equip A	8	Act 4 (N) Junk	33																		0
Trapped Soul (H)			1					66	gld	19	Act 4 (H) Equip A	8	Act 4 (H) Junk	33																		0
Haphesto			5	800	800	900	983	19	"gld,mul=1280"	14	Act 5 Equip A	19	Act 5 Junk	5	Act 5 Good	3																0
Haphesto (N)			5	800	800	900	920	19	"gld,mul=1536"	14	Act 5 (N) Equip A	19	Act 5 (N) Junk	5	Act 5 (N) Good	3																0
Haphesto (H)			5	800	800	900	900	19	"gld,mul=2048"	14	Act 5 (H) Equip A	19	Act 5 (H) Junk	5	Act 5 (H) Good	3																0
Nihlathak			5	900	900	900	983	19	"gld,mul=1280"	14	Act 5 Equip B	19	Act 5 Junk	5	Act 5 Good	3	Nihlathak Sets	1														0
Nihlathak (N)			5	900	900	900	920	19	"gld,mul=1536"	14	Act 5 (N) Equip B	19	Act 5 (N) Junk	5	Act 5 (N) Good	3	Nihlathak (N) Sets	1														0
Nihlathak (H)			5	900	900	900	900	19	"gld,mul=2048"	14	Act 5 (H) Equip B	19	Act 5 (H) Junk	5	Act 5 (H) Good	3	Nihlathak (H) Sets	1														0
Baal			7	983	983	983	983	15	"gld,mul=1280"	5	Act 1 (N) Equip A	52	Act 1 (N) Junk	5	Act 1 (N) Good	3																0
Baal (N)			7	983	983	983	920	15	"gld,mul=1536"	5	Act 1 (H) Equip A	52	Act 1 (H) Junk	5	Act 1 (H) Good	3																0
Baal (H)			7	983	983	983	900	15	"gld,mul=2048"	5	Act 5 (H) Equip B	52	Act 5 (H) Junk	5	Act 5 (H) Good	3																0
Baalq			7	983	972	920	900	5	Act 1 (N) Equip A	52	Act 1 (N) Junk	5	Act 1 (N) Good	3																		0
Baalq (N)			8	983	972	920	700	4	Act 1 (H) Equip A	52	Act 1 (H) Junk	5	Act 1 (H) Good	3																		0
Baalq (H)			9	983	972	920	500	2	Act 5 (H) Equip B	52	Act 5 (H) Junk	5	Act 5 (H) Good	3																		0
Blood Raven			5	800	800	972	983	19	"gld,mul=1280"	14	Act 1 Equip B	19	Act 1 Junk	5	Act 1 Good	3																0
Blood Raven (N)			5	800	800	972	920	19	"gld,mul=1536"	14	Act 1 (N) Equip B	19	Act 1 (N) Junk	5	Act 1 (N) Good	3																0
Blood Raven (H)			5	800	800	972	900	19	"gld,mul=2048"	14	Act 1 (H) Equip B	19	Act 1 (H) Junk	5	Act 1 (H) Good	3																0
Smith			-3					0	Act 1 Uitem C	1	Act 1 Melee B	2																				0
Smith (N)			-3					0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																				0
Smith (H)			-3					0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2																				0
Izual			5	800	800	972	983	19	"gld,mul=1280"	14	Act 4 Equip B	19	Act 4 Junk	5	Act 4 Good	3																0
Izual (N)			5	800	800	972	920	19	"gld,mul=1536"	14	Act 4 (N) Equip B	19	Act 4 (N) Junk	5	Act 4 (N) Good	3																0
Izual (H)			5	800	800	972	900	19	"gld,mul=2048"	14	Act 4 (H) Equip B	19	Act 4 (H) Junk	5	Act 4 (H) Good	3																0
Act 1 Super A			-4	800	800	972	1024	0	Act 1 Uitem A	2	Act 1 Cpot A	2																				0
Act 1 Super B			-4	800	800	972	1024	0	Act 1 Uitem B	2	Act 1 Cpot B	2																				0
Act 1 Super C			-4	800	800	972	1024	0	Act 1 Uitem C	2	Act 1 Cpot C	2																				0
Act 2 Super A			-4	800	800	972	1024	0	Act 2 Uitem A	2	Act 2 Cpot A	2																				0
Act 2 Super B			-4	800	800	972	1024	0	Act 2 Uitem B	2	Act 2 Cpot B	2																				0
Act 2 Super C			-4	800	800	972	1024	0	Act 2 Uitem C	2	Act 2 Cpot C	2																				0
Act 3 Super A			-4	800	800	972	1024	0	Act 3 Uitem A	2	Act 3 Cpot A	2																				0
Act 3 Super B			-4	800	800	972	1024	0	Act 3 Uitem B	2	Act 3 Cpot B	2																				0
Act 3 Super C			-4	800	800	972	1024	0	Act 3 Uitem C	2	Act 3 Cpot C	2																				0
Act 4 Super A			-4	800	800	972	1024	0	Act 4 Uitem A	2	Act 4 Cpot A	2																				0
Act 4 Super B			-4	800	800	972	1024	0	Act 4 Uitem B	2	Act 4 Cpot B	2																				0
Act 4 Super C			-4	800	800	972	1024	0	Act 4 Uitem B	2	Act 4 Cpot B	2																				0
Act 5 Super A			-4	800	800	972	1024	0	Act 5 Uitem A	2	Act 5 Cpot A	2																				0
Act 5 Super B			-4	800	800	972	1024	0	Act 5 Uitem B	2	Act 5 Cpot B	2																				0
Act 5 Super C			-4	800	800	972	1024	0	Act 5 Uitem C	2	Act 5 Cpot C	2																				0
Act 1 (N) Super A			-4	800	800	972	1024	0	Act 1 (N) Uitem A	2	Act 1 (N) Cpot A	2																				0
Act 1 (N) Super B			-4	800	800	972	1024	0	Act 1 (N) Uitem B	2	Act 1 (N) Cpot B	2																				0
Act 1 (N) Super C			-4	800	800	972	1024	0	Act 1 (N) Uitem C	2	Act 1 (N) Cpot C	2																				0
Act 2 (N) Super A			-4	800	800	972	1024	0	Act 2 (N) Uitem A	2	Act 2 (N) Cpot A	2																				0
Act 2 (N) Super B			-4	800	800	972	1024	0	Act 2 (N) Uitem B	2	Act 2 (N) Cpot B	2																				0
Act 2 (N) Super C			-4	800	800	972	1024	0	Act 2 (N) Uitem C	2	Act 2 (N) Cpot C	2																				0
Act 3 (N) Super A			-4	800	800	972	1024	0	Act 3 (N) Uitem A	2	Act 3 (N) Cpot A	2																				0
Act 3 (N) Super B			-4	800	800	972	1024	0	Act 3 (N) Uitem B	2	Act 3 (N) Cpot B	2																				0
Act 3 (N) Super C			-4	800	800	972	1024	0	Act 3 (N) Uitem C	2	Act 3 (N) Cpot C	2																				0
Act 4 (N) Super A			-4	800	800	972	1024	0	Act 4 (N) Uitem A	2	Act 4 (N) Cpot A	2																				0
Act 4 (N) Super B			-4	800	800	972	1024	0	Act 4 (N) Uitem B	2	Act 4 (N) Cpot B	2																				0
Act 4 (N) Super C			-4	800	800	972	1024	0	Act 4 (N) Uitem B	2	Act 4 (N) Cpot B	2																				0
Act 5 (N) Super A			-4	800	800	972	1024	0	Act 5 (N) Uitem A	2	Act 5 (N) Cpot A	2																				0
Act 5 (N) Super B			-4	800	800	972	1024	0	Act 5 (N) Uitem B	2	Act 5 (N) Cpot B	2																				0
Act 5 (N) Super C			-4	800	800	972	1024	0	Act 5 (N) Uitem C	2	Act 5 (N) Cpot C	2																				0
Act 1 (H) Super A			-4	800	800	972	1024	0	Act 1 (H) Uitem A	2	Act 1 (H) Cpot A	2																				0
Act 1 (H) Super B			-4	800	800	972	1024	0	Act 1 (H) Uitem B	2	Act 1 (H) Cpot B	2																				0
Act 1 (H) Super C			-4	800	800	972	1024	0	Act 1 (H) Uitem C	2	Act 1 (H) Cpot C	2																				0
Act 2 (H) Super A			-4	800	800	972	1024	0	Act 2 (H) Uitem A	2	Act 2 (H) Cpot A	2																				0
Act 2 (H) Super B			-4	800	800	972	1024	0	Act 2 (H) Uitem B	2	Act 2 (H) Cpot B	2																				0
Act 2 (H) Super C			-4	800	800	972	1024	0	Act 2 (H) Uitem C	2	Act 2 (H) Cpot C	2																				0
Act 3 (H) Super A			-4	800	800	972	1024	0	Act 3 (H) Uitem A	2	Act 3 (H) Cpot A	2																				0
Act 3 (H) Super B			-4	800	800	972	1024	0	Act 3 (H) Uitem B	2	Act 3 (H) Cpot B	2																				0
Act 3 (H) Super C			-4	800	800	972	1024	0	Act 3 (H) Uitem C	2	Act 3 (H) Cpot C	2																				0
Act 4 (H) Super A			-4	800	800	972	1024	0	Act 4 (H) Uitem A	2	Act 4 (H) Cpot A	2																				0
Act 4 (H) Super B			-4	800	800	972	1024	0	Act 4 (H) Uitem B	2	Act 4 (H) Cpot B	2																				0
Act 4 (H) Super C			-4	800	800	972	1024	0	Act 4 (H) Uitem B	2	Act 4 (H) Cpot B	2																				0
Act 5 (H) Super A			-4	800	800	972	1024	0	Act 5 (H) Uitem A	2	Act 5 (H) Cpot A	2																				0
Act 5 (H) Super B			-4	800	800	972	1024	0	Act 5 (H) Uitem B	2	Act 5 (H) Cpot B	2																				0
Act 5 (H) Super C			-4	800	800	972	1024	0	Act 5 (H) Uitem C	2	Act 5 (H) Cpot C	2																				0
Act 1 Super Ax			-4	512	654	972	1024	0	Act 1 Uitem A	2	Act 1 Cpot A	2																				0
Act 1 Super Bx			-4	512	654	972	1024	0	Act 1 Uitem B	2	Act 1 Cpot B	2																				0
Act 1 Super Cx			-4	512	654	972	1024	0	Act 1 Uitem C	2	Act 1 Cpot C	2																				0
Act 2 Super Ax			-4	512	654	972	1024	0	Act 2 Uitem A	2	Act 2 Cpot A	2																				0
Act 2 Super Bx			-4	512	654	972	1024	0	Act 2 Uitem B	2	Act 2 Cpot B	2																				0
Act 2 Super Cx			-4	512	654	972	1024	0	Act 2 Uitem C	2	Act 2 Cpot C	2																				0
Act 3 Super Ax			-4	512	654	972	1024	0	Act 3 Uitem A	2	Act 3 Cpot A	2																				0
Act 3 Super Bx			-4	512	654	972	1024	0	Act 3 Uitem B	2	Act 3 Cpot B	2																				0
