index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Drizzt's Mithril	0	1		1		60	50	xlv	Drow Adamantite Chain			12	40000	dgry	dgry						ac%		150	300	dex		10	20	res-all		10	20	swing2		10	20	move1		10	20																													0
Demonspike Coat	0	1		1		63	55	xar	Ornate Armor			12	40000	blac	blac						ac%		70	210	res-fire		25	75	ease		-12	-12	str		10	30	red-dmg		5	9	abs-fire/lvl	2			fire-min		10	25	fire-max		25	250	dmg-fire/lvl	8															0
								9my	Sorcerous Blade																																																												0
Nightscape	0	1		1		69	60	yui	Padded Armor			12	40000	blac	blac						ease		-15	-15	balance3		30	30	ac		300	550	dex		15	25	str		15	20	res-all		20	35	ass		1	2	move2		10	10	swing2		10	10	res-all-max		1	10									0
								0bh	Arreat Axe																																																												0
								9bh	Mountain Axe																																																												0
								bxh	Highlander Axe																																																												0
Chains of Binding	0	1		1		74	74	yng	Heavy Mail			13	45000	blac	blac						res-all		50	60	ac%		450	500	dmg-cold	750	25	70	regen		-20	-25	dmg-cold/lvl	16			sock	2	2	2																									0
Acero Frio	0	1		1		75	78	ycl	Dragon Scale			13	45000	dblu	dblu						ac%		300	400	str		15	30	res-cold		10	30	sock	3	3	3																																	0
Vulcanguard	0	1		1		77	80	yhn	Chain Shirt			13	45000	dred	dred						ac%		125	175	res-fire		55	70	dmg-fire		50	50	knock		1	1	gethit-skill	Nova	60	17	dmg-fire/lvl	40																											0
Atlastrust	0	1		1		77	84	yrs	Chest Guard			13	45000	dgry	dgry						skilltab	9	1	2	skilltab	12	1	2	skilltab	1	1	2	dmg%		50	100	str		20	30	str/lvl	6																											0
Kaija's Gown	0	1		1		79	75	yrb	Archmage Robe			13	45000	whit	whit						cast3		40	40	move3		40	40	enr/lvl	6			sor		2	2	mag%		100	100																													0
Hellforge's Finest	0	1		1		84	89	ypl	Demon Fleece			13	45000	dred	dred						abs-fire%		20	30	fireskill		1	3	res-fire-max		10	20	res-fire		100	150	nofreeze		1	1	gethit-skill	Fire Ball	20	25	ac%		80	240																					0
ES Class Weapons (3.0)																																																																					0
Dweia's Revenge	100	1		1		60	60	aam	Amulet			12	40000	lblu	lblu						ass		2	2	oskill	Enchant	15	20	lifesteal		10	20	all-stats		10	20	res-all		5	15	move1		15	15	mag%		25	50	addxp		15	25	regen		15	20	regen-mana		45	60									0
Plague's Last Arrowhead	0	1		1		60	60	zam	Amulet			12	40000	lgry	lgry						ama		2	2	att%		15	20	lifesteal		10	20	manasteal		10	20	swing1		30	50	aura	Might	15	20	mag%		25	50	addxp		15	25	regen		15	20	regen-mana		45	60									0
Robes of Power	0	1		1		84	85	ytp	Archmage Plate			13	45000	whit	whit						res-all		20	40	mana		40	100	block		15	15	sor		1	2	nec		1	2	vit		10	25																									0
BlackKnight's Holy Signet	0	1		1		60	60	pam	Amulet			12	40000	dblu	dblu						pal		2	2	aura	Might	15	20	crush		12	18	lifesteal		25	30	res-all		5	15	nofreeze		1	1	mag%		25	50	addxp		15	25	regen		15	20	regen-mana		45	65									0
The Cursed Doughnut	0	1		1		60	60	nam	Amulet			12	40000	blac	blac						nec		2	2	mana%		25	50	aura	Vigor	10	15	manasteal		15	20	skill	Poison Nova	3	5	move1		15	15	mag%		25	50	addxp		15	25	regen		15	20	regen-mana		45	60									0
Smaqdoun's Painful Pride	0	1		1		60	60	bam	Amulet			12	40000	dred	dred						bar		2	2	hp%		15	25	ac%/lvl	25			dmg%		65	85	str		15	30	swing3		5	10	mag%		25	50	addxp		15	25	regen		15	20	regen-mana		45	65									0
The Mistress' Leather Collar	0	1		1		60	60	sam	Amulet			12	40000	dgrn	dgrn						sor		2	2	lifesteal		3	5	manasteal		3	5	nofreeze		1	1	all-stats		5	10	res-all-max		5	10	mag%		25	50	addxp		15	25	regen		15	20	regen-mana		45	60									0
ES Amulets (cont'd)																																																																					0
Romanary Pelt	0	1		1		3	2	buc	Buckler			6	10000	whit	whit						cast3		20	30	str			20	dex			20	hp			20	mana			20	swing3		15	30	ac/lvl	4																							0
Stargate	0	1		1		12	9	sml	Small Shield			7	15000	lgry	lgry						ac		10	10	res-ltng		45	45	light-thorns		30	30	hp		10	20	regen		5	15	abs-mag%			15																									0
Mercenary's Brace	0	1		1		18	13	lrg	Large Shield			7	15000	dgry	dgry						red-dmg		3	6	res-fire		25	35	res-ltng		25	35	block		10	15	balance1		10	20	str/lvl	8			hp/lvl	16																							0
Spikes of Rajamir	0	1		1		20	15	spk	Spiked Shield			8	20000	lred	lred						thorns		20	80	block3		20	30	openwounds		33	99	res-all		10	20	thorns/lvl	48			gethit-skill	Life Tap	50	2	skill	Smite	3	6																					0
BlackMage's Knucklebone	0	1		1		60	60	nrn	Ring			12	40000	dgry	dgry		invnrn				nec		2	2	skilltab	Poison Nova	4	4	manasteal		10	15	enr		5	10	res-all		10	25	mag%		25	50	death-skill	Frost Nova	100	52	oskill	Warmth	15	25	cast3		10	20	addxp		15	15	death-skill	Scroll of Town Portal	100	1					0
Skullbear's Soul	0	1		1		27	20	bsh	Bone Shield			8	20000	lgld	lgld						howl		14	43	block		15	15	hp		15	30	dex		15	30	str		15	30	mana		15	30	regen-mana		20	40	regen		10	20	ac/lvl	2															0
Stormwynd's Mania	0	1		1		26	19	tow	Tower Shield			8	20000	lblu	lblu						ac		20	60	pal		1	1	str		20	30	block2		15	30	dmg-ac		-10	-10	ac/lvl	8			sock	1	1	1																					0
ES Rings (cont'd)																																																																					0
The Unknown Hero	100	1		1		1	80	cm3	grand charm		1	6	10000	dgrn	dgrn		invch9				allskills		1	2	thorns		100	150	red-mag		5	10	red-dmg		15	20	str		10	20	dex		10	20	gold%		40	50	mag%		25	45																	0
The Deflector	0	1		1		36	28	xuc	Defender			9	25000	dred	dred						ac%		100	200	block		25	25	block3		20	30	red-dmg		3	6	res-fire		20	40	res-ltng		20	40	thorns/lvl	20			light-thorns		30	30	thorns		25	75													0
Karcheus' Ward	0	1		1		39	31	xml	Round Shield			9	25000	lblu	lblu						ac%		50	100	hp		25	75	mana		25	75	res-cold-max		15	25	res-cold		40	80	half-freeze		1	1	ac/lvl	6			gethit-skill	Ice Blast	30	6	cold-len		200	600	sock	1	1	1									0
The Face of the Sun	0	1		1		43	35	xrg	Scutum			10	30000	oran	oran						light		7	7	nofreeze		1	1	res-fire-max		20	20	res-fire		40	80	block		20	20	block3		20	30	stupidity		1	1	regen		3	9	gethit-skill	Fire Ball	55	9	ac/lvl	4											0
	100			1		84	70	zof	Ceremonial Belt			13	45000																																																								0
	100			1		82	65	zoe	Dextrous Loop			13	45000																																																								0
Tortured Souls	0	1		1		49	41	xsh	Grim Shield			10	30000	blac	blac						nec		1	3	regen		-10	-20	thorns		30	210	howl		32	96	cast3		20	40	res-all		20	30	abs-mag%			10	sock	1	1	1																	0
Wall of the Ancient Oak	0	1		1		52	44	xow	Pavise			11	35000	lgrn	lgrn						balance3		30	30	manasteal		1	10	str		20	30	res-pois-max		20	20	res-pois		50	100	res-pois-len		50	100	str/lvl	4			red-dmg		4	8																	0
	100			1		63	51	zob	Deft Belt			12	40000																																																								0
Mithril Shield	0	1		1		58	50	xts	Ancient Shield			11	35000	whit	whit						ac%		50	150	red-dmg		3	9	block		20	20	ease		-30	-60	res-all		20	30	res-mag		15	45	red-mag		4	8	move1		10	20																	0
	100			1		50	42	zo9	Athletic Loop			11	35000																																																								0
Elzix's Treasure	0	1		1		69	58	yml	Desert Shield			12	40000	oran	oran						mag%		100	100	mag%/lvl	16			charged	142	5	100	block		-15	-15	skill	Find Item	2	4																													0
	100			1		40	34	zo7	Maiden Coil			10	30000																																																								0
The Seduction of Pain	0	1		1		79	76	ypk	Thorned Shield			13	45000	blac	blac						thorns		100	100	red-dmg		-50	-50	dmg-norm			50	lifesteal		6	10	manasteal		4	8	thorns/lvl	12			dmg/lvl	4																							0
Dragon's Breach	0	1		1		73	78	yit	Military Shield			13	45000	cred	cred						dmg-fire		50	140	ac%		100	170	block		20	20	str		12	18	enr		10	12	res-fire		65	65	res-fire-max		15	15	skill	Holy Shield	3	6	skill	Smite	3	6	pal		2	2									0
Icon of Sin	0	1		1		79	75	ysh	Demon Shield			13	45000	blac	blac						ac%		150	200	allskills		1	1	nec			1	lifesteal		8	12	dmg-to-mana		30	30	howl		128	128	res-all		45	60	regen		-20	-20																	0
The Barricade	0	1		1		81	80	yow	Royal Guard			13	45000	dgry	dgry						ac		100	220	res-all		35	45	block		20	20																																					0
Guardian Angel	0	1		1		84	85	yft	Ceremonial Shield			13	45000	whit	whit						ac		80	120	block		20	20	light		3	5	block3		30	30	balance3		30	30	allskills		1	1	abs-fire%		1	20	abs-cold%		1	20	abs-ltng%		1	20	red-dmg		5	15									0
Stonewall	0	1		1		80	80	yts	Body Shield			13	45000	dgry	dgry						ac		200	300	block		60	60	block3		60	60	indestruct		1	1	skilltab	11	2	3																													0
ES Amazon Belts																																																																					0
Leather of Luck	0	1		1		7	5	lgl	Gloves			6	10000	cblu	cblu						att%			100	mag%		25	150	gold%		50	300																																					0
Hand of Grog	0	1		1		12	9	vgl	Heavy Gloves			7	15000	oran	oran						balance1		10	10	mana		10	20	hp		15	30	swing2		15	30	str		10	15	sock	1	1	1																									0
Gloves of Firebrand	0	1		1		20	15	mgl	Bracers			8	20000	lred	lred						abs-fire			20	res-fire-max		5	15	res-fire		30	60	fire-min		5	15	dmg-fire/lvl	16			hit-skill	Molten Boulder	30	4	fire-max		15	30																					0
Darkflight Hand	0	1		1		31	23	tgl	Light Gauntlets			9	25000	lgry	lgry						magicarrow		1	1	att%		15	30	half-freeze		1	1	dmg-cold	150	10	15	swing2		10	30	dmg-cold/lvl	20			skilltab	0	1	2																					0
Heartrand's Gaunts	0	1		1		39	29	hgl	Gauntlets			9	25000	dred	dred						ac		40	40	dmg-max		5	25	red-dmg		2	4	res-fire		50	50	hp		30	60	deadly		20	40	dmg-min		5	25																					0
Fireheart's Hand	0	1		1		40	29	irg	Iron Guards			10	30000	cred	cred						fire-min		5	10	dmg-fire/lvl	40			abs-fire%			10	res-fire		30	60	cast2		10	30	fire-max		10	20																									0
Hands of the Assassin	0	1		1		37	29	xlg	Demonhide Gloves			9	25000	blac	blac						stamdrain		50	100	deadly		50	100	dmg-pois	200	64	96	dmg-pois/lvl	40			crush		10	40	ass		1	1	sock	1	1	1																					0
Gloves of Nor Tiraj	0	1		1		39	32	xvg	Sharkskin Gloves			9	25000	lgry	lgry						res-all		10	30	cast3		20	30	red-mag		3	9	mana-kill		3	9	ac		15	30	att-skill	Poison Nova	30	5																									0
	100			1		40	34	so7	Witch's Gloves			10	30000																																																								0
Runefusion	0	1		1		50	42	xtg	Battle Guantlets			11	35000	dpur	dpur						sor		1	2	nec		1	2	res-all			20	regen-mana		20	60	hp		30	90	sock	2	2	2																									0
Suffocation of Indifference	0	1		1		55	47	xhg	War Gauntlets			11	35000	cred	cred						lifesteal		3	6	regen		-4	-8	openwounds		25	50	dmg-min		5	10	slow		25	50	bloody		1	1	dmg/lvl	10			dmg-max		5	10																	0
	100			1		20	19	so4	Adept Gauntlets			8	20000																																																								0
Gloves of the Dark Mage	0	1		1		76	73	ylg	Spellcaster Gloves			13	45000	blac	blac						ac		5	15	red-mag		5	10	sor			1	nec			1	ac-miss		10	50	cast1		10	10																									0
	100			1		8	10	so2	Apprentice Gloves			6	10000																																																								0
Death's Grip	0	1		1		83	84	ymg	Sepulcher Gloves			13	45000	blac	blac						freeze		3	3	dmg-cold	500	25	90	lifesteal		4	10	mana-kill		3	6	ignore-ac		1	1	noheal		1	1	dmg-cold/lvl	48																							0
Iron Fist	0	1		1		74	71	ytg	Gladiator Bracers			13	45000	dgry	dgry						ac%		40	50	ac		100	120	red-dmg%		10	15	swing1		15	15																																	0
Herculean Grip	0	1		1		79	74	yhg	Titan Bracers			13	45000	lgry	lgry						str		20	35	crush		25	25	deadly		25	25	knock		1	1	vit		20	35																													0
Greiz's Legion	0	1		1		80	77	yig	Royal Guards			13	45000	oran	oran						att%		50	100	dmg%		20	50	block		5	15	vit		10	20																																	0
ES Boots																																																																					0
Boots of Firewalk	0	1		1		7	5	lbt	Leather Boots			6	10000	cred	cred						abs-fire		5	15	res-fire		20	60	hp		15	30	skill	Blaze	1	4	ac		4	8	move1		5	10																									0
Icelander's Wear	0	1		1		12	9	vbt	Heavy Boots			7	15000	dblu	dblu						res-cold		30	60	res-cold-max		5	15	half-freeze		1	1	hp		10	30	ac/lvl	8			res-cold/lvl	8																											0
Orcish Walkgarb	0	1		1		20	15	mbt	Chain Boots			8	20000	lgrn	lgrn						deadly		10	30	move2		10	30	dex		11	22	str		12	12	ac-hth		25	75	str/lvl	2																											0
Vindalay's Sole	0	1		1		30	22	tbt	Light Plate Boots			9	25000	dgry	dgry						stamdrain		30	60	cast3		20	30	move2		10	30	red-mag		2	4	gold%		40	80	red-dmg		3	6																									0
Lightmaster's Walk	0	1		1		39	29	hbt	Plate Boots			9	25000	dgrn	dgrn						ac		10	10	move3		30	30	regen-stam		30	60	res-all		10	20	dex		10	20	str		10	20	ac/lvl	8																							0
Zhoul's Slippers	0	1		1		31	23	dbt	Ethereal Boots			9	25000	lgry	lgry						red-dmg		4	8	red-mag		3	6	move2		10	30	enr		5	15	manasteal		3	6	nec		1	1																									0
	100			1		35	30	as6	Shade Boots			9	25000																																																								0
Flickerheel	0	1		1		40	32	xvb	Sharkskin Boots			10	30000	cred	cred						ac-miss		150	250	dex		10	30	nofreeze		1	1	move2		20	30	dmg-ltng/lvl	32			gethit-skill	Charged Bolt	20	8	ltng-min		1	15	ltng-max		15	150																	0
Chillcobble	0	1		1		44	36	xmb	Mesh Boots			10	30000	cblu	cblu						res-cold		10	90	res-cold-max		10	10	freeze		1	3	mana		15	30	dmg-cold/lvl	20			gethit-skill	Frost Nova	30	5	cold-len		200	800	cold-min		3	12	cold-max		12	48													0
Boots of the Valiant	0	1		1		50	42	xtb	Battle Boots			11	35000	whit	whit						ac%		50	150	stamdrain		50	100	deadly		40	80	balance3		20	30	move1		10	30	ac-hth		150	250	swing2		10	30	str			20																	0
	100			1		8	10	as2	Twilight Treads			6	10000																																																								0
Wren's Reinforced Tech Boots	0	1		1		61	53	xbt	Mystile Boots			12	40000	dgry	dgry						skill	Leap	20	20	ac%		50	100	move3		20	40	str		10	20	dex		10	20	dmg-norm		10	15	skill	Leap	2	6																					0
Heart of the Moon	0	1		1		69	67	ylb	Rogue Boots			12	40000	lgry	lgry						ac		40	60	str		3	6	dex		3	6	vit		3	6	enr		3	6	move1		20	20	regen		8	12	skill	Prayer	5	5																	0
Boots of the Serpent	0	1		1		70	72	yvb	Viper Boots			13	45000	dgrn	dgrn						res-ltng		50	50	res-pois		50	75	res-fire		15	30	res-cold		10	15	skill	Evade	2	2	deadly		15	15	res-pois-len		100	100	move2		20	30	lifesteal		2	4													0
Boots of Aether	0	1		1		71	66	ymb	Sepulcher Boots			13	45000	blac	blac						block		10	10	hp		30	55	dex		10	18	move2		20	20	regen		6	11	regen-mana		60	60																									0
Hermes' Gift	0	1		1		73	70	ytb	Plated Boots			13	45000	dgry	dgry						skill	Vigor	15	15	dex		10	20	skill	Increased Speed	7	7	skill	Quickness	7	7	skill	Slow Missiles	7	7	skill	Warmth	7	7	skill	Golem Mastery	7	7	skill	Feral Rage	5	5	allskills		1	1													0
The Heel of Blood	0	1		1		77	74	yhb	Gladiator Boots			13	45000	cred	cred						bloody		1	1	dmg%		20	35	crush		30	30	openwounds		60	60	str		15	20	lifesteal		5	8																									0
Spirits of the Dead	0	1		1		81	79	ybt	Spirit Boots			13	45000	blac	blac						move2		30	30	res-all		15	25	howl		32	96	hp		20	60	mana		20	60	skilltab	8	1	3	manasteal		3	3																					0
ES Belts																																																																					0
Imperial Sash	0	1		1		10	7	lbl	Sash			7	15000	cgrn	cgrn						res-all		5	15	mana		10	20	hp		10	20	str		6	12	mana/lvl	12			hp/lvl	12																											0
Raimen's Belt of Fear	0	1		1		16	12	vbl	Light Belt			7	15000	blac	blac						ac		18	18	howl		43	85	thorns		20	40	red-dmg%		5	10	res-cold		10	30	str/lvl	2			ac/lvl	12			skill	Howl	3	6	skill	Terror	3	6	gethit-skill	Terror	30	9									0
Herald of Zakarum	100	1		1		50	42	pa9	Aerin Shield			11	35000	lblu	lblu						pal		1	2	skilltab	9	1	2	ac%		100	200	block2		20	40	block		30	30	str		10	25	vit		10	25	att%		10	30																	0
Blustone's Belt	0	1		1		36	27	tbl	Heavy Belt			9	25000	lblu	lblu						ac		15	45	nofreeze		1	1	res-cold		18	54	str		15	25	cold-min		6	9	dmg-cold/lvl	8			gethit-skill	Frost Nova	40	5	cold-len		150	450	cold-max		9	18													0
Harness of the Gods	0	1		1		39	29	hbl	Girdle			9	25000	dyel	dyel						ac		30	60	allskills		1	1	red-dmg		4	8	dmg-cold		5	25	dex		10	20	res-all		15	20	str		10	20	cold-len		50	250																	0
Goldark's Strap	0	1		1		32	25	msb	Muscle Belt			9	25000	dgld	dgld						gold%		200	200	indestruct		1	1	str		10	30	sock	2	2	2	gold%/lvl	32			ac/lvl	8																											0
Smiles of Fortune	0	1		1	1	1	29	zlb	Demonhide Sash			9	25000	lgld	lgld						deadly		1	26	crush		1	26	openwounds		1	26	gold%		50	500	mag%		20	200	swing1		1	16	lifesteal			6	manasteal			6																	0
Rumour of Pain	0	1		1		39	32	zvb	Sharkskin Belt			9	25000	dgrn	dgrn						openwounds		25	50	balance2		10	30	ac%		100	200	dmg-pois	100	128	256	dmg-min			15	dmg-pois/lvl	20			dmg/lvl	6																							0
Strap of Cythys	0	1		1		45	36	zmb	Mesh Belt			10	30000	cgrn	cgrn						ac		25	75	dmg-pois	25	413	512	slow		30	60	noheal		1	1	res-pois		22	88	gethit-skill	Poison Nova	30	10	ac/lvl	9																							0
Battlecharge	0	1		1		49	42	ztb	Battle Belt			10	30000	dgry	dgry						ac-miss		100	200	block			20	crush		10	30	stam		50	150	move2		10	30	knock		1	1	str			20	skilltab	14	1	2																	0
Timeloop	0	1		1		55	47	zhb	War Belt			11	35000	dgld	dgld						cast1		10	20	balance1		10	20	move2		10	30	slow		50	100	swing1		10	30	block1		10	30																									0
Circle of the Ancients	0	1		1		63	57	xms	Titan Brace			12	40000	cred	cred						indestruct		1	1	res-all			20	str		5	15	dex		5	15	vit		5	15	bar			2	skill	Double Throw	3	6	skill	Leap Attack	2	5	skill	Whirlwind	1	4	sock	1	1	1									0
Blazeband	0	1		1		75	76	alb	Hemp Band			13	45000	oran	oran						fireskill		1	2	dmg-fire		20	70	res-fire		40	55	hp%		10	10	charged	46	5	25	skill	Blaze	4	6	gethit-skill	Fire Wall	20	16																					0
Band of Constriction	0	1		1		80	80	avb	Rogue Belt			13	45000	blac	blac						ac		-54	-54	red-dmg%		75	75	res-all		70	110	regen		-30	-30	stamdrain		-100	-100																													0
Laertes' Treasure	0	1		1		79	78	bmb	Merchant Belt			13	45000	lgld	lgld						mag%/lvl	8			gold%/lvl	40			mag%		50	50	gold%		100	100	sock	1	1	1																													0
Spartacus' Defense	0	1		1		74	68	atb	Military Belt			13	45000	cred	cred						ac%		30	60	block		15	15	balance1		10	10	block1		10	10	red-dmg		10	14	vit		8	12	str		12	15	dex		15	25																	0
Girdle of Giant Strength	0	1		1		76	71	ahb	Girdle			13	45000	cred	cred						str		30	50	dmg-min		10	10	red-dmg		8	12	res-all		16	16																																	0
The Belt of Zeus	0	1		1		84	84	yms	Gladiator Wrap			13	45000	lpur	lpur						ac%		80	120	str		25	25	vit		25	25	dmg-ltng		1	200	res-all		10	30	dmg-ltng/lvl	16																											0
ES Primal Helms																																																																					0
Hinge of Sinnew	100	1		1		4	7	ba1	Jawbone Cap			6	10000	dgld	dgld						ac%		25	75	red-dmg		2	4	red-mag		2	4	str		5	15	dmg-fire/lvl	20			fire-min		5	10	fire-max		20	25																					0
Crusheye	100	1		1		8	10	ba2	Fanged Helm			6	10000	blac	blac						ac		40	40	ac/lvl	8			ease		10	10	red-dmg%		4	8	half-freeze		1	1	crush		20	40																									0
The Raging Bull	100	1		1		16	16	ba3	Horned Helm			7	15000	cred	cred						bar		1	1	hp		20	40	mana		20	40	stam		20	40	str		10	30	skill	Taunt	3	6	move2		10	30																					0
Army of One	100	1		1		20	19	ba4	Assault Helmet			8	20000	dblu	dblu						res-all		20	30	ac%		50	150	swing2		10	30	hp/lvl	8			move2		10	30	dmg/lvl	8																											0
The Augmentor	100	1		1		24	22	ba5	Avenger Guard			8	20000	lgld	lgld						str			20	dex			20	vit			20	enr			20	res-all		10	20	regen-stam		10	30	regen			20	regen-mana		25	50																	0
Helm of the Dead King	100	1		1		35	30	ba6	Jawbone Visor			9	25000	whit	whit						dmg-undead		150	300	att-undead		150	300	dmg%			50	res-pois		25	75	swing1		5	20	dmg-mag		25	50	hit-skill	Amplify Damage	20	6																					0
Savannah's Pride	100	1		1		40	34	ba7	Lion Helm			10	30000	oran	oran						hp		50	150	crush		15	45	openwounds		25	75	abs-ltng%		1	10	move3		20	40																													0
The Crimson Faceplate	100	1		1		46	33	ba8	Rage Mask			10	30000	cred	cred						swing3		20	40	bar		1	2	ac		25	75	lifesteal		1	5	dmg-fire/lvl	24			fire-min		15	45	fire-max		45	180																					0
Phase Visor	100	1		1		50	36	ba9	Savage Helmet			11	35000	oran	oran						indestruct		1	1	hit-skill	Meteor	30	7	hit-skill	Chain Lightning	30	7	hit-skill	Frozen Orb	30	7	att-skill	Bone Spirit	30	7																													0
Arreat's Face	100	1		1		50	42	baa	Slayer Guard			11	35000	blac	blac						bar		1	2	skilltab	12	1	2	balance2		20	40	att%		15	30	str		10	30	dex		10	30	res-all		20	40																					0
Coldfist's Icy Stare	100	1		1		55	45	bab	Carnage Helm			11	35000	dblu	dblu						ac%		75	150	freeze		3	3	nofreeze		1	1	res-cold		40	80	hit-skill	Glacial Spike	100	6	dmg-cold/lvl	36			cold-len		450	1350	cold-min		15	30	cold-max		50	100													0
Adrenaline Rush	100	1		1		69	55	bac	Fury Visor			12	40000	dpur	dpur						move3		20	40	swing3		20	40	balance3		20	40	skill	Frenzy	3	6	ac		50	100																													0
Wyrm's Wrap	100	1		1		76	61	bad	Destroyer Helm			13	45000	cgrn	cgrn						dmg-fire		49	50	dmg-cold	150	49	50	dmg-ltng		49	50	res-fire		40	80	res-cold		40	80	res-ltng		40	80	hit-skill	Fire Ball	30	9	hit-skill	Ice Blast	30	9	hit-skill	Lightning	30	9													0
Larzuk's Innovation	100	1		1		83	66	bae	Conquerer Crown			13	45000	dgry	dgry						ac%		100	300	manasteal		5	15	dmg%		25	75	nofreeze		1	1	charged	276	10	20	indestruct		1	1	bar		1	2	skilltab	14	1	3																	0
The Ancients' Blessing	100	1		1		84	70	baf	Guardian Crown			13	45000	lgld	lgld						ac%		100	300	ac%/lvl	12			res-all		25	75	hp		50	100	mana		5	25	bar		1	3	red-dmg		5	15																					0
ES Necro Heads																																																																					0
Wirt's Skull	100	1		1		4	7	ne1	Preserved Head			6	10000	oran	oran						ac		10	20	mag%		50	100	gold%		100	300	dex		5	15	skill	Weaken	2	4	skill	Poison Dagger	1	3																									0
Corpsefire's Head	100	1		1		8	10	ne2	Zombie Head			6	10000	dred	dred						ac		18	18	block		10	10	balance1		10	20	dmg-cold	300	20	25	res-cold		15	45	hit-skill	Amplify Damage	50	5	skilltab	6	1	1	skill	Amplify Damage	2	2																	0
Radament's Rotting Skull	100	1		1		16	16	ne3	Unraveller Head			7	15000	dgld	dgld						ac		35	35	skilltab	7	2	2	skill	Poison Explosion	2	4	skill	Poison Nova	1	2	res-pois		30	60	res-pois-max			20	regen-mana		10	20	skill	Revive	4	8																	0
Pitspawn's Gaze	100	1		1		20	19	ne4	Gargoyle Head			8	20000	dgry	dgry						block		20	20	block2		10	30	nec		1	1	skilltab	6	1	2	gethit-skill	Terror	20	1	hit-skill	Weaken	20	3																									0
Andariel's Face	100	1		1		24	22	ne5	Demon Head			8	20000	oran	oran						ac		40	40	skilltab	6	2	4	skilltab	7	1	2	dmg-pois	50	386	386	res-all		10	20	res-pois		40	60	res-all-max			10	gethit-skill	Poison Nova	25	5																	0
Ancient Kaa's Soul	100	1		1		35	30	ne6	Mummified Trophy			9	25000	blac	blac						ac%		50	150	block		10	20	gethit-skill	Charged Bolt	50	8	red-mag		5	10	nec		1	1	skilltab	8	1	1	skill	Skeleton Mastery	1	2	res-all		10	30																	0
Red Death's Madness	100	1		1		40	34	ne7	Fetish Trophy			10	30000	cred	cred						dmg-demon		400	400	att-demon		200	400	abs-fire/lvl	8			mana%		5	15	dex		10	20	skill	Bone Spear	3	5	skill	Corpse Explosion	2	4	ac		60	120																	0
The Grim Compass	100	1		1		46	33	ne8	Sexton Trophy			10	30000	blac	blac						ac		50	150	block		10	30	block2		10	30	res-all		25	50	nec		1	2	skill	Decrepify	2	4	move2		10	30	charged	150	5	20																	0
Disturbing Visions	100	1		1		50	36	ne9	Cantor Trophy			11	35000	lpur	lpur						skilltab	8	1	3	skilltab	7	1	2	vit			20	manasteal		6	18	skill	Confuse	1	3	skill	Terror	1	3	skill	Attract	1	3	regen			30	ac		50	100													0
Homunculus	100	1		1		50	42	nea	Heirophant Trophy			11	35000	cblu	cblu						nec		1	2	skilltab	6	1	2	ac%		150	200	block2		20	40	block		40	40	enr		10	30	regen-mana		22	44	mana-kill		4	8	res-all		20	40													0
Splitskull Shield	100	1		1		55	45	neb	Minion Skull			11	35000	blac	blac						block		30	30	block3		20	40	red-mag		7	14	res-all		10	30	sock	1	1	1	thorns		75	150	gethit-skill	Bone Spirit	30	8	ac		100	200	thorns/lvl	40															0
Head of the Cerberus	100	1		1		69	55	neg	Hellspawn Skull			12	40000	dgry	dgry						ac%		50	200	dmg-fire		35	100	abs-fire/lvl	6			res-all		20	40	vit		10	30	gethit-skill	Nova	15	15	nec		1	3	hit-skill	Fire Ball	20	14	charged	237	10	20													0
Shenk's Mask	100	1		1		76	61	ned	Overseer Skull			13	45000	blac	blac						ac%		100	300	str		20	40	thorns		100	200	skill	Corpse Explosion	1	3	skilltab	8	1	2	nec		1	2	res-all		20	50	charged	116	6	15																	0
Winged Embrace	100	1		1		83	66	nee	Succubae Skull			13	45000	dblu	dblu						move3		20	40	res-all		25	50	block2		10	30	block		30	30	nec			3	skilltab	7	1	3	dex		20	40	cast1		10	20	hp%		5	15	mana%		10	20									0
Dracula's Wit	100	1		1		84	70	nef	Bloodlord Skull			13	45000	cred	cred						ac%		100	300	enr		20	40	red-mag		6	12	red-dmg		8	16	balance3		20	40	nec		1	3	charged	54	40	1	skill	Skeleton Mastery	2	4	skill	Summon Resist	3	6	gethit-skill	Teleport	25	1									0
ES Druid Helms																																																																					0
Fang's Valor	100	1		1		4	7	dr1	Wolf Head			6	10000	dred	dred						lifesteal		6	12	ac%		25	75	hp		20	30	skill	Wearwolf	2	4	skill	Shape Shifting	1	2																													0
Shadow Crow	100	1		1		8	10	dr2	Hawk Helm			6	10000	blac	blac						light		-5	-5	skill	Raven	4	8	mana		20	30	hp		20	30	dmg-mag		5	25																													0
Alizee's Flaming Horns	100	1		1		16	16	dr3	Antlers			7	15000	cred	cred						skill	Firestorm	3	6	mana		20	40	light		5	5	res-fire		20	40	res-fire-max		5	15	dmg-fire/lvl	20			fire-min		5	10	fire-max		15	30																	0
