index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Rogue's Bow-N	Kashya's Survival Kit-N	sbs	Short Bow	7	1	5	lred	lred						30	75000	2	ethereal		1	1	dmg/lvl	24			att/lvl	16			sock	3	3	3	deadly/lvl	8			dmg%		100	100	crush/lvl	6			thorns/lvl	40							dmg-min		5	5					dmg-min		10	10	dmg%/lvl	16																											0
Rogue's Suit-N	Kashya's Survival Kit-N	les	Leather Armor	7	1	5	lred	lred						30	75000	2	ethereal		1	1	ac/lvl	32			sock	4	4	4	ac%		200	200	res-cold/lvl	8			res-fire/lvl	8			res-ltng/lvl	8			res-pois/lvl	8							ac		25	25					ac		25	25	ac%/lvl	16																											0
Rogue's Cap-N	Kashya's Survival Kit-N	rsk	Skull Cap	7	1	5	lred	lred						30	75000	2	ethereal		1	1	thorns		100	100	sock	2	2	2	hp/lvl	16			dmg-fire		50	75	swing3		40	40	regen		25	25	balance3		30	30					ac		25	25					ac		25	25	ac%/lvl	16																											0
Mercenary's Pike-N	Greiz's Desert Pride-N	pim	Spetum	7	1	10	oran	oran						30	75000	2	ethereal		1	1	dmg/lvl	26			att/lvl	16			sock	4	4	4	wounds/lvl	8			dmg%		100	100	crush/lvl	6			thorns/lvl	40							dmg-min		5	5					dmg-min		10	10	dmg%/lvl	16																											0
Mercenary's Wraps-N	Greiz's Desert Pride-N	stm	Studded Leather	7	1	10	oran	oran						30	75000	2	ethereal		1	1	ac/lvl	40			sock	4	4	4	ac%		200	200	res-cold/lvl	8			res-fire/lvl	8			res-ltng/lvl	8			res-pois/lvl	8							ac		25	25					ac		25	25	ac%/lvl	16																											0
Mercenary's Shiek-N	Greiz's Desert Pride-N	cam	Cap	7	1	10	oran	oran						30	75000	2	ethereal		1	1	thorns		100	100	sock	2	2	2	hp/lvl	16			dmg-pois	50	256	256	swing3		40	40	regen		25	25	balance3		30	30					ac		25	25					ac		25	25	ac%/lvl	16																											0
Iron Wolf's Broad Sword-N	Asheara's Iron Wolf Division-N	lsw	Broad Sword	7	1	15	cred	cred						30	75000	2	ethereal		1	1					att/lvl	16			sock	3	3	3	cast2		20	20					crush/lvl	6			thorns/lvl	40							dmg-min		5	5					dmg-min		10	10	dmg%/lvl	16																											0
Iron Wolf's Robes-N	Asheara's Iron Wolf Division-N	row	Robe	7	1	15	cred	cred						30	75000	2	ethereal		1	1	ac/lvl	48			sock	4	4	4	ac%		200	200	res-cold/lvl	8			res-fire/lvl	8			res-ltng/lvl	8			res-pois/lvl	8							ac		25	25					ac		25	25	ac%/lvl	16																											0
Iron Wolf's Coif-N	Asheara's Iron Wolf Division-N	hlw	Helm	7	1	15	cred	cred						30	75000	2	ethereal		1	1	thorns		100	100	sock	2	2	2	hp/lvl	16			dmg-cold	200	60	65	swing3		40	40	regen		25	25									ac		25	25					ac		25	25	ac%/lvl	16																											0
Barbarian's Point-N	Qual-Kehk's Barbaric Gear-N	bsb	Bastard Sword	7	1	20	cblu	cblu						30	75000	2	ethereal		1	1	dmg/lvl	30			att/lvl	16			sock	3	3	3	deadly/lvl	8			dmg%		100	100	crush/lvl	6			thorns/lvl	40							dmg-min		5	5					dmg-min		10	10	dmg%/lvl	16																											0
Barbarian's Shelter-N	Qual-Kehk's Barbaric Gear-N	gtq	Gothic Plate	7	1	20	cblu	cblu						30	75000	2	ethereal		1	1	ac/lvl	56			sock	4	4	4	ac%		200	200	res-cold/lvl	8			res-fire/lvl	8			res-ltng/lvl	8			res-pois/lvl	8							ac		25	25					ac		25	25	ac%/lvl	16																											0
Barbarian's Visage-N	Qual-Kehk's Barbaric Gear-N	ghw	Great Helm	7	1	20	cblu	cblu						30	75000	2	ethereal		1	1	thorns		100	100	sock	2	2	2	hp/lvl	16			dmg-ltng		32	128	swing3		40	40	regen		25	25	balance3		30	30					ac		25	25					ac		25	25	ac%/lvl	16																											0
Rogue's Bow-NM	Kashya's Survival Kit-NM	xbs	Edge Bow	7	1	24	lred	lred						35	100000	2	ethereal		1	1	dmg/lvl	24			att/lvl	24			sock	4	4	4	deadly/lvl	8			dmg%		200	200	crush/lvl	6			thorns/lvl	60							dmg-min		15	15					dmg-min		20	20	dmg%/lvl	12																											0
Rogue's Suit-NM	Kashya's Survival Kit-NM	xes	Serpentskin Armor	7	1	24	lred	lred						35	100000	2	ethereal		1	1	ac/lvl	64			sock	5	5	5	ac%		300	300	res-cold/lvl	10			res-fire/lvl	10			res-ltng/lvl	10			res-pois/lvl	10							ac		50	50					ac		50	50	ac%/lvl	16																											0
Rogue's Cap-NM	Kashya's Survival Kit-NM	xkr	Sallet	7	1	24	lred	lred						35	100000	2	ethereal		1	1	thorns		200	200	sock	3	3	3	hp/lvl	32			dmg-fire		75	150	swing3		40	40	regen		25	25	balance3		30	30					ac		50	50					ac		50	50	ac%/lvl	16																											0
Mercenary's Pike-NM	Greiz's Desert Pride-NM	xim	Lance	7	1	28	oran	oran						35	100000	2	ethereal		1	1	dmg/lvl	26			att/lvl	24			sock	5	5	5	wounds/lvl	8			dmg%		200	200	crush/lvl	6			thorns/lvl	60							dmg-min		15	15					dmg-min		20	20	dmg%/lvl	12																											0
Mercenary's Wraps-NM	Greiz's Desert Pride-NM	xtm	Trellised Armor	7	1	28	oran	oran						35	100000	2	ethereal		1	1	ac/lvl	72			sock	5	5	5	ac%		300	300	res-cold/lvl	10			res-fire/lvl	10			res-ltng/lvl	10			res-pois/lvl	10							ac		50	50					ac		50	50	ac%/lvl	16																											0
Mercenary's Shiek-NM	Greiz's Desert Pride-NM	xam	War Hat	7	1	28	oran	oran						35	100000	2	ethereal		1	1	thorns		200	200	sock	3	3	3	hp/lvl	32			dmg-pois	50	512	512	swing3		40	40	regen		25	25	balance3		30	30					ac		50	50					ac		50	50	ac%/lvl	16																											0
Iron Wolf's Broad Sword-NM	Asheara's Iron Wolf Division-NM	xsw	Battle Sword	7	1	32	cred	cred						35	100000	2	ethereal		1	1					att/lvl	24			sock	4	4	4	cast2		20	20					crush/lvl	6			thorns/lvl	60							dmg-min		15	15					dmg-min		20	20																													0
Iron Wolf's Robes-NM	Asheara's Iron Wolf Division-NM	rox	Mage Robe	7	1	32	cred	cred						35	100000	2	ethereal		1	1	ac/lvl	80			sock	5	5	5	ac%		300	300	res-cold/lvl	10			res-fire/lvl	10			res-ltng/lvl	10			res-pois/lvl	10							ac		50	50					ac		50	50	ac%/lvl	16																											0
Iron Wolf's Coif-NM	Asheara's Iron Wolf Division-NM	xlw	Casque	7	1	32	cred	cred						35	100000	2	ethereal		1	1	thorns		200	200	sock	3	3	3	hp/lvl	32			dmg-cold	200	60	120	swing3		40	40	regen		25	25									ac		50	50					ac		50	50	ac%/lvl	16																											0
Barbarian's Point-NM	Qual-Kehk's Barbaric Gear-NM	xsb	Gothic Sword	7	1	36	cblu	cblu						35	100000	2	ethereal		1	1	dmg/lvl	30			att/lvl	24			sock	4	4	4	deadly/lvl	8			dmg%		200	200	crush/lvl	6			thorns/lvl	60							dmg-min		15	15					dmg-min		20	20	dmg%/lvl	12																											0
Barbarian's Shelter-NM	Qual-Kehk's Barbaric Gear-NM	xtq	Embossed Plate	7	1	36	cblu	cblu						35	100000	2	ethereal		1	1	ac/lvl	88			sock	5	5	5	ac%		300	300	res-cold/lvl	10			res-fire/lvl	10			res-ltng/lvl	10			res-pois/lvl	10							ac		50	50					ac		50	50	ac%/lvl	16																											0
Barbarian's Visage-NM	Qual-Kehk's Barbaric Gear-NM	xhw	Winged Helm	7	1	36	cblu	cblu						35	100000	2	ethereal		1	1	thorns		200	200	sock	3	3	3	hp/lvl	32			dmg-ltng		60	240	swing3		40	40	regen		25	25	balance3		30	30					ac		50	50					ac		50	50	ac%/lvl	16																											0
Rogue's Bow-H	Kashya's Survival Kit-H	ybs	Spiderwoven Bow	7	1	40	lred	lred						40	125000	2	ethereal		1	1	dmg/lvl	24			att/lvl	32			sock	5	5	5	deadly/lvl	8			dmg%		300	300	crush/lvl	6			thorns/lvl	80							dmg-min		25	25					dmg-min		30	30	dmg%/lvl	8																											0
Rogue's Suit-H	Kashya's Survival Kit-H	yes	Viper Skin	7	1	40	lred	lred						40	125000	2	ethereal		1	1	ac/lvl	96			sock	6	6	6	ac%		400	400	res-cold/lvl	12			res-fire/lvl	12			res-ltng/lvl	12			res-pois/lvl	12							ac		75	75					ac		75	75	ac%/lvl	16																											0
Rogue's Cap-H	Kashya's Survival Kit-H	ykr	Fedora	7	1	40	lred	lred						40	125000	2	ethereal		1	1	thorns		300	300	sock	4	4	4	hp/lvl	48			dmg-fire		100	200	swing3		40	40	regen		25	25	balance3		30	30					ac		75	75					ac		75	75	ac%/lvl	16																											0
Mercenary's Pike-H	Greiz's Desert Pride-H	yim	Impaler	7	1	44	oran	oran						40	125000	2	ethereal		1	1	dmg/lvl	26			att/lvl	32			sock	6	6	6	wounds/lvl	8			dmg%		300	300	crush/lvl	6			thorns/lvl	80							dmg-min		25	25					dmg-min		30	30	dmg%/lvl	8																											0
Mercenary's Wraps-H	Greiz's Desert Pride-H	ytm	Gemstoned Armor	7	1	44	oran	oran						40	125000	2	ethereal		1	1	ac/lvl	96			sock	6	6	6	ac%		400	400	res-cold/lvl	12			res-fire/lvl	12			res-ltng/lvl	12			res-pois/lvl	12							ac		75	75					ac		75	75	ac%/lvl	16																											0
Mercenary's Shiek-H	Greiz's Desert Pride-H	yam	Hood	7	1	44	oran	oran						40	125000	2	ethereal		1	1	thorns		300	300	sock	4	4	4	hp/lvl	48			dmg-pois	50	1024	1024	swing3		40	40	regen		25	25	balance3		30	30					ac		75	75					ac		75	75	ac%/lvl	16																											0
Iron Wolf's Broad Sword-H	Asheara's Iron Wolf Division-H	ysw	Arcane Sword	7	1	48	cred	cred						40	125000	2	ethereal		1	1					att/lvl	32			sock	5	5	5	cast2		20	20					crush/lvl	6			thorns/lvl	80							dmg-min		25	25					dmg-min		30	30																													0
Iron Wolf's Robes-H	Asheara's Iron Wolf Division-H	roy	Archmage Robe	7	1	48	cred	cred						40	125000	2	ethereal		1	1	ac/lvl	96			sock	6	6	6	ac%		400	400	res-cold/lvl	12			res-fire/lvl	12			res-ltng/lvl	12			res-pois/lvl	12							ac		75	75					ac		75	75	ac%/lvl	16																											0
Iron Wolf's Coif-H	Asheara's Iron Wolf Division-H	ylw	Guardian Helm	7	1	48	cred	cred						40	125000	2	ethereal		1	1	thorns		300	300	sock	4	4	4	hp/lvl	48			dmg-cold	400	60	120	swing3		40	40	regen		25	25									ac		75	75					ac		75	75	ac%/lvl	16																											0
Barbarian's Point-H	Qual-Kehk's Barbaric Gear-H	ysb	Dark Sword	7	1	52	cblu	cblu						40	125000	2	ethereal		1	1	dmg/lvl	30			att/lvl	32			sock	5	5	5	deadly/lvl	8			dmg%		300	300	crush/lvl	6			thorns/lvl	80							dmg-min		25	25					dmg-min		30	30	dmg%/lvl	8																											0
Barbarian's Shelter-H	Qual-Kehk's Barbaric Gear-H	ytq	Royal Armor	7	1	52	cblu	cblu						40	125000	2	ethereal		1	1	ac/lvl	96			sock	6	6	6	ac%		400	400	res-cold/lvl	12			res-fire/lvl	12			res-ltng/lvl	12			res-pois/lvl	12							ac		75	75					ac		75	75	ac%/lvl	16																											0
Barbarian's Visage-H	Qual-Kehk's Barbaric Gear-H	yhw	Tusk Helm	7	1	52	cblu	cblu						40	125000	2	ethereal		1	1	thorns		300	300	sock	4	4	4	hp/lvl	48			dmg-ltng		60	360	swing3		40	40	regen		25	25	balance3		30	30					ac		75	75					ac		75	75	ac%/lvl	16																											0
