skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Charged Bolt Sentry	263	ass	charged bolt sentry		45																																																							chargeboltsentry	assassintrap	5+skill('Shock Field'.blvl)/10	S1	BoltSentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Shock Field	skill('Shock Field'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)				assassin_summon																																1	0		rng												S2	S2	S2				1	4																					16	30					Blade Shield														1	6	52	1	1																par1 + skill('Lightning Sentry'.blvl)/4 + skill('Death Sentry'.blvl)/8	shots fired	5	Shots fired			5	Bolts to send out	1	Bolts to send out per level							67	damage synergy	16								6															ltng	8	0	0	0	0	0	24	8	9	10	11	12	(skill('Fire Trauma'.blvl) + skill('Lightning Sentry'.blvl) + skill('Death Sentry'.blvl)) * par8/16						3			500
Wake of Fire Sentry	264	ass	wake of fire sentry		45																																																							wakeofdestruction	assassintrap	5+skill('Inferno Sentry'.blvl)/10	S1	Wake Of Destruction Sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)					32			assassin_summon																																1	0		rng												S2	S2	S2				1	4																					16	30					Shock Field														1	7	26	1	1																		5	Shots fired													100	damage synergy	16								7															fire	10	5	10	15	20	25	20	5	10	15	20	25	(skill('Fists of Fire'.blvl) + skill('Inferno Sentry'.blvl)) * par8/16						3			500
Shadow Warrior	265	ass	shadow warrior		49																	shadowwarrior				tohit	lvl*par2+skill('Claw Mastery'.blvl)*par2	skill_armor_percent	lvl*par3+skill('Weapon Block'.blvl)*par3	strength	lvl*10+skill('Fade'.blvl)*5	dexterity	lvl*10+skill('Quickness'.blvl)*5															fireresist	"min(lvl*4,75)"	coldresist	"min(lvl*4,75)"	lightresist	"min(lvl*4,75)"	poisonresist	"min(lvl*4,75)"					shadowwarrior	shadowwarrior	1+skill('Shadow Master'.blvl)/20	NU											42			assassin_summon																																1	0		none												SC	SC	SC				1	4																					16	30					Cloak of Shadows							150							1	8	27	2	1	1																	15	Plus % HP per level	40	plus to hit per level	12	Plus % AC per level	0	?	18	base item quality level	3	item quality per level					16								8																																		3			500
Fire Trauma	266	ass	fire trauma											bomb in air		1									par1+skill('Shock Field'.blvl)/4																																																								weapon_throw_1															bomb in air													1	0		rng												S2	S2	S2				1																						24	25					Wake of Fire Sentry	Blade Sentinel							1						1	7	24	1	1																		5	radius													30	damage synergy	24								7															cold	30	20	30	40	50	60	50	20	30	40	50	60	(skill('Shock Field'.blvl) + skill('Death Sentry'.blvl) + skill('Charged Bolt Sentry'.blvl) + skill('Lightning Sentry'.blvl) + skill('Wake of Fire Sentry'.blvl) + skill('Inferno Sentry'.blvl)) * par8/16						5			500
Cobra Strike	267	ass	cobra strike	23	34								2									progressive_steal		par3+(skill('Fists of Fire'.blvl)+skill('Tiger Strike'.blvl)+skill('Claws of Thunder'.blvl)+skill('Cobra Strike'.blvl)+skill('Blades of Ice'.blvl)+skill('Royal Strike'.blvl))*(skill('Tiger Strike'.par7))		progressive_steal		progressive_tohit	par4																																																									cobrastrike1	assassin_chargeup_cobra_1						13	13	13														1	0		h2h		mele										A1	A1	A2				1		1	1								1											24	25					Tiger Strike								1						1	6	16	-1	1							1											40	Base percent life steal	5	Percent life steal per level	375	duration	50	tohit bonus for each charge-up									24			60+lvl*15+skill('Claw Mastery'.blvl)*skill('Claw Mastery'.par8)					8	128																																	12			500
Fade	268	ass	fade		18																	fade		ln56+(skill('Cloak of Shadows'.blvl)+skill('Quickness'.blvl)+skill('Venom'.blvl))*par6		fireresist	dm12+skill('Fists of Fire'.blvl)	coldresist	dm12+skill('Blades of Ice'.blvl)	lightresist	dm12+skill('Claws of Thunder'.blvl)	poisonresist	dm12+skill('Venom'.blvl)	curse_resistance	dm34+skill('Cloak of Shadows'.blvl)	damageresist	ln78+skill('Blade Shield'.blvl)											fade	2																												assassin_fade																																1	0		none												SC	SC	SC				1													1									24	25					Quickness														1	6	40	-1	1	1																	10	min Elemental resistance	75	max elemental resist	40	min curse length reduction	90	max curse length reduction	3000	duration	300	Duration per level	10	damage resist %	1	damage resist % per level	24								8																																		1			500
Blades of Ice	269	ass	blades of ice	23	35	1		38	39		par1	par2	4						bladesoficecubes		34571	progressive_cold		par3+(skill('Fists of Fire'.blvl)+skill('Tiger Strike'.blvl)+skill('Claws of Thunder'.blvl)+skill('Cobra Strike'.blvl)+skill('Blades of Ice'.blvl)+skill('Royal Strike'.blvl))*(skill('Tiger Strike'.par7))		progressive_cold		progressive_tohit	par4																																																																	9	9			bladesoficeexplode	bladesoficecubes										1	0		h2h	3	h2h	asns				h2h					SQ	A1	xx	16			1		1	1								1											24	25					Claws of Thunder								1						1	6	16	-1	1							1											8	Second level radius	4	Third level radius	375	duration	50	tohit bonus for each charge-up	1	freeze length divisor	90	damage synergy	5	duration synergy	180	damage synergy	24			90+lvl*15+skill('Claw Mastery'.blvl)*skill('Claw Mastery'.par8)					8	128														cold	15	10	20	30	40	50	35	10	20	30	40	50	(skill('Royal Strike'.blvl))*par8/16+(skill('Fists of Fire'.blvl)+skill('Claws of Thunder'.blvl))*par6/16	100	10	10	10	(skill('Fire Trauma'.blvl))*par7	4			500
Shadow Master	270	ass	shadow master		49																	shadowwarrior				tohit	lvl*par2+skill('Claw Mastery'.blvl)*par2	skill_armor_percent	lvl*skill('Shadow Warrior'.par3)/2+skill('Weapon Block'.blvl)*skill('Shadow Warrior'.par3)/2	strength	lvl*10+skill('Fade'.blvl)*5	dexterity	lvl*10+skill('Quickness'.blvl)*5															fireresist	dm34	coldresist	dm34	lightresist	dm34	poisonresist	dm34					shadowmaster	shadowwarrior	1	NU											42			assassin_summon																																1	0		none												SC	SC	SC				1																						24	25					Shadow Warrior	Claw Mastery						150							1	8	40	2	1	1																	15	Pluse % HP per level	40	plus to hit per level	5	Min % resist all	80	Max % resist all	24	base item quality level	4	item quality per level					24								8																																		3			500
Psychic Hammer	271	ass	psychic hammer	22	33																																																																							1	assassin_psychichammer							psychic_hammer_hit	paladin_holybolt_impact_1			psychic_hammer_curse			5	3																	1	0		rng												SC	SC	SC				1	4	1		1																		32	20					Claw Mastery								1						1	6	32	-1	1										par1	knockback% vs. monster	dm34	knockback% vs. unique	dm56	knockback% vs. boss	dm56	knockback% vs. player	100	knockback % vs. monster			50	min knockback% vs. unique	100	max knockback% vs. unique	25	min knockback% vs. boss	99	max knockback% vs. boss			80	damage synergy	32								7	128	30	15	30	45	60	75	30	15	30	45	60	75	(skill('Claw Mastery'.blvl)+skill('Blade Sentinel'.blvl))*par8/16	mag	30	15	30	45	60	75	30	15	30	45	60	75	(skill('Mind Blast'.blvl)+skill('Dragon Flight'.blvl))*par8/16						5			500
Dragon Tail	272	ass	dragon tail	27	50												dragontail missile								par3+skill('Fists of Fire'.blvl)/5																							damagepercent	ln12+(skill('Dragon Talon'.blvl)+skill('Dragon Claw'.blvl)+skill('Dragon Flight'.blvl))*par8/16 +skill('Claw Mastery'.blvl)*par7/16																												assassin_kick_1														9	7					dragontail missile												1	0		h2h	4											KK	KK	A1				1			1								1											32	20					Cobra Strike								1						0	6	40	-1	1					1													150	Percent area damage min	25	percent area damage per level	6	Radius	-40	Attack rate penalty					160	damage synergy	80	damage synergy	32			100+lvl*25+skill('Claw Mastery'.blvl)*skill('Claw Mastery'.par8)				1	8															fire																			4			500
Lightning Sentry	273	ass	lightning sentry		45																																																							lightningsentry	assassintrap	5+skill('Charged Bolt Sentry'.blvl)/10	S1	sentry lightning	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)						assassin_summon																																1	0		rng												S2	S2	S2				1	4																					32	20					Charged Bolt Sentry														1	7	40	1	1																		10	Shots fired													53	damage synergy	32								8															ltng	10	10	20	30	40	50	20	10	20	30	40	50	(skill('Shock Field'.blvl) + skill('Charged Bolt Sentry'.blvl) + skill('Death Sentry'.blvl))*par8/16						3			500
Inferno Sentry	274	ass	inferno sentry		45																																																							infernosentry	assassintrap	5+skill('Wake of Fire Sentry'.blvl)/10	S1	mon inferno sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Wake of Fire Sentry	skill('Wake of Fire Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)			32			assassin_summon																																1	0		rng												S2	S2	S2				1	4																					32	20					Wake of Fire Sentry														1	7	40	1	1																		10	Shots fired											80	synergy damage bonus	160	damage synergy	32								4															mag	20	20	25	30	35	40	50	20	25	30	35	40	(skill('Charged Bolt Sentry'.blvl) + skill('Death Sentry'.blvl)) * par7/16 + skill('Wake of Fire Sentry'.blvl)*par8/16						3			500
Royal Strike	275	ass	royal strike	23	34		40	143	41		par6	par5					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice			progressive_other		375+(skill('Fists of Fire'.blvl)+skill('Tiger Strike'.blvl)+skill('Claws of Thunder'.blvl)+skill('Cobra Strike'.blvl)+skill('Blades of Ice'.blvl)+skill('Royal Strike'.blvl))*(skill('Tiger Strike'.par7))	par1	progressive_other																																																																			14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h		mele										A1	A1	A2				1		1	1								1											32	20					Blades of Ice								1						1	6	20	-1	1							1			par2								12	radius of jump to next target	9	radius of meteor explosion	30	Frames of fire	15	Frames of fire per level	16	chaos ice bolts	10	chain lightning skip			6	damage synergy	32			105+lvl*15+skill('Claw Mastery'.blvl)*skill('Claw Mastery'.par8)					8	128																																	4	-3		500
Blade Fury	276	ass	blade fury	26	48					par4							bladefragment1																																																																										8	6					bladefragment2												1	0		rng												SQ	A1	SC	23	12																								40	20					Fire Trauma								1	1			1	6	0	6	40	-1	1																		0	"Don't Use, missile range mod"	0	"Don't Use, missile range mod"	3	Min Mana to start casting	3	Frame delay between blades							140	damage synergy	40								6															pois	12	6	9	12	18	24	24	6	9	12	18	24	(skill('Venom'.blvl)) *par8/16	100					5			500
Mind Blast	277	ass	mind blast		51																33667				par7+skill('Cloak of Shadows'.blvl)/5+skill('Psychic Hammer'.blvl)/10																																																				assassin_psychichammer							fist_will_cast								8					mindblast center	mindblast hit											1	0		rng												SC	SC	SC				1			1										1									40	20					Shadow Master								1						1	6	60	1	1																		60	length of stun	10	additional lengh of stun	150	conversion length min	100	conversion length random range	15	chance for conversion	40	max chance for conversion	4	radius	70	damage synergy	40				9				8		50	25	50	75	100	125	100	25	50	75	100	125	(skill('Cloak of Shadows'.blvl)+skill('Psychic Hammer'.blvl))*par8/16																				11			500
Dragon Flight	278	ass	dragon flight	12	52																				par7+(skill('Dragon Talon'.blvl)+skill('Dragon Claw'.blvl)+skill('Dragon Tail'.blvl))/10																							damagepercent	ln12+(skill('Dragon Talon'.blvl)+skill('Dragon Claw'.blvl)+skill('Dragon Tail'.blvl))*par8/16 +skill('Claw Mastery'.blvl)*par6/16																											1	sorceress_teleport							dragonflight							5																1		1	0		rng	4											SQ	A1	xx	21							1							1											40	20					Dragon Tail	Dragon Claw						25	1						0	6	60	-1	1					1					ln12+(skill('Dragon Talon'.blvl)+skill('Dragon Claw'.blvl)+skill('Dragon Tail'.blvl))*par8/16 +skill('Claw Mastery'.blvl)*par6/16	damagepercent							200	% Damage bonus	25	% damage per level							140	damage synergy	27	range	47	damage synergy	40			150+lvl*25+skill('Claw Mastery'.blvl)*skill('Claw Mastery'.par8)				1	8																																		13			500
Death Sentry	279	ass	death sentry		45																																																							deathsentry	assassintrap	5+(skill('Lightning Sentry'.blvl)+skill('Lightning Sentry'.blvl))/20	S1	mon death sentry	lvl	sentry lightning	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)			32			assassin_summon																																1	0		rng												S2	S2	S2				1	4																					40	20					Lightning Sentry														1	8	20	1	1																		7	Shots fired													70	damage synergy	40								8															ltng	1	0	0	0	0	0	50	10	15	20	25	30	(skill('Lightning Sentry'.blvl)+skill('Charged Bolt Sentry'.blvl))*par8/16						3			500
Venom	280	ass	venom		18																	venomclaws		ln12+(skill('Cloak of Shadows'.blvl)+skill('Quickness'.blvl)+skill('Fade'.blvl))*par2		poisonmindam	enms	poisonmaxdam	exms	skill_poison_override_length	edma	item_preventheal	1	item_slow	ln34																																										assassin_venom																																1	0		none												SC	SC	SC				1													1									40	20					Fade														1	6	48	1	1	1																	3000	duration	125	duration per level	10	slow%	2	slow% per level	0	?	0	?			70	damage synergy	40								6															pois	24	6	8	10	12	14	32	6	8	10	12	14	(skill('Blade Fury'.blvl)+skill('Fade'.blvl))*par8/16	50					1			500
Wake Of Destruction Sentry	281				125												wake of destruction maker																																																																											70					wake of destruction maker												1	0		none												SQ	SQ	S2				1																						1																								1																par8	shots fired	6	Number of missiles	2	Number of missiles per level			2	Min Range							5	Shots Fired	1								8																																					0
Imp Inferno	282			59	126												impinfernoflame1																																																																											71					impinfernoflame1	impinfernoflame2			8	z offset	lvl-1	range					1	0		none												SQ	SQ	SC	6			1																						1																								1										"rand(par3,par4)"	len	lvl-1	range					30	base ranged (doubled)	3	level range (doubled)	100	min frames	120	max frames									1								4															fire	18	15	15	15	15	15	37	15	15	15	15	15										0
Imp Fireball	283													impfireball		1																																																													sorceress_cast_fire											fire_cast_2				72					impfireball				40	z offset							1	0		none												SQ	SQ	S2				1																						1																								1																																		1								8																																					0
Baal Taunt	284				28												baal taunt control																																																																						monster_baal_taunt_1				46						baal taunt control												1	0		none												SQ	SQ	A1				1																						1																								1										3		45						45	Delay in poison clouds	3	Delay in lightning 													1								8																																					0
Baal Corpse Explode	285				141																				ln34																																																																		82																		1	0		none												SQ	SQ	S3				1																						1																								1																		1	% of base monster HP min damage	1	% of base monster HP max damage	6	radius (half squares) for damage	1	additional radius/level (half squares) for damage	40	Radius of search for corpses							1								8																																					0
Baal Monster Spawn	286													baal spawn monsters		1																																																													baal_summon																			baal spawn monsters													1	0		none												SQ	SQ	S3				1																						1																								1																																		1								8																																					0
Catapult Charged Ball	287				28												catapultchargedball																																																																										47						catapultchargedball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																								1																		4	Charged bolts per level															1								8																																					0
Catapult Spike Ball	288				28												catapult spike ball																																																																										47						catapult spike ball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																								1																ln12		20	Spikes to launch	5	Spikes per level													1								8																																					0
Suck Blood	289			60	127																																																																																																								1	0		none												SQ	SQ	A1				1																						1																								1										par1	heal%							25	Percent life to boss															1								8		1						3																													0
Cry Help	290				128															curseattract																																																																																									1	0		none												SQ	SQ	S1				1																						1																																		ln12	duration							100	Time for minions to attack target	20	Time per level													1								8																																					0
Healing Vortex	291													healing vortex																																																																																		healing vortex													1	0		none												SQ	SQ	S2				1																						1																								1																																		1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
Teleport 2	292				98																																																																																						48	73																	1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Self-resurrect	293			61																																																																																							38																		1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Vine Attack	294				130												plague vines						slowed			velocitypercent	-100																																																						druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49						vine beast attack	vines	vine beast walk 1	vine beast neutral	ln12	#vines	35	delay	6	min dist between missiles			1	0		none												SQ	SQ	S1				1																						1																								1										ln12	# missiles					20	frames to apply aura to target	3	Number of vines	1	vines per level													1								8																																					0
Overseer Whip	295				131																		bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																											suicideminion1			S1											33																																			1	0		none												SQ	SQ	A2				1																						1																								1										par1	chance							65	Chance Bloodlust	250	Bloodlust duration	80	Velocity change	80	Speed change	50	Armor change	100	Damage change					1								8																																					0
Barbs Aura	296				65																65795	barbscontrol	barbs		ln12	thorns_percent	ln34																																																																																		1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	2	radius per level	50	% thorns damage back	10	% thorns damage back per level									1								8																																					0
Wolverine Aura	297				65																65795	wolverinecontrol	wolverine		ln12	item_tohit_percent	ln34	damagepercent	ln56																																																																																1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	2	radius per level	25	% attack rating bonus	7	% attack rating bonus per lvl	20	% damage increase	7	% damage increase per level					1								8																																					0
Oak Sage Aura	298				65																65795	oaksagecontrol	oaksage		ln12	item_maxhp_percent	ln34																																																																																		1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	2	radius per level	30	% hitpoints more per level	5	% hitpoint bonus per level									1								8																																					0
Imp Fire Missile	299				132												impmiss21																																																												sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																										1																								1										lvl-1	range adder								?		?		?		?		?		?					1								8																																					0
Impregnate	300				133																																																							painworm1			NU																																														1	0		none												S1	S1	S1				1																						1																								1																			?		?		?		?		?		?					1								8																																					0
Siege Beast Stomp	301				134																				par5																																																															siege_beast_dust				75																		0		none												A2	A2	A2				1																						1																								1																		8	screen shake magnitude	5	screen shake bulid	20	screen shake duration	15	screen shake fade	25	radius of effect		?					1				1				8		20	10	10	10	10	10	60	10	10	10	10	10																								0
MinionSpawner	302			62	135																																																																						spawnedminion																																		1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultBlizzard	303				28												catapult cold ball																																																																										47						catapult cold ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultPlague	304				28												catapult plague ball																																																																										47						catapult plague ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultMeteor	305				28												catapult meteor ball								par1																																																																		47						catapult meteor ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																		5	radius of explosion		?	50	duration base	3	duration/level		?		?					1								8																																					0
BoltSentry	306				17												sentrychargedbolt																																																																											23					sentrychargedbolt												1	0		none												SC	SC	xx																										1																								1										ln12 + skill('Shock Field'.blvl)/3	# bolts					par8 + skill('Lightning Sentry'.blvl)/4	shots fired	5	Bolts to send out	0	Bolts to send out per level											5	Shots Fired	1								8																																					0
CorpseCycler	307			63													recycler delay								10																																																																		49		93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1															1																								1										dm12	life steal							3	min % life steal	12	max % life steal													1								8																																					0
DeathMaul	308				136												death mauler																																																																											76					death mauler	death mauler trail											1	0		none												A1	A1	xx																										1																								1										96	missile animrate								?		?		?		?		?		?					1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0
Defense Curse	309				30																3		defense_curse	ln34	ln12	skill_armor_percent	-par3*lvl																																																																18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																								1																		3	radius	1	radius per level	200	duration	75	additional duration/level	50	% defense	5	% defense/lvl					1																																													0
Blood Mana	310				30																3		blood_mana	ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																								1																		3	radius	1	radius per level	200	duration	75	additional duration/level	40	Max hitpoints to remove curse							1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0
mon inferno sentry	311			53	95												inferno sentry 1																																																																										52	77					inferno sentry 1	inferno sentry 2			-37	z offset							1	0		none												SQ	SQ	xx																										1																								1										ln34/2	range	par1 + skill('Wake of Fire Sentry'.blvl)	length of fire	3	density	par8	shots fired	15	frame length			40	range times two									10	Shots fired	1								8																																					0
mon death sentry	312				55																				ln34																																																														necromancer_corpseexp_1	death_sentry			50	78					corpseexplosion	deathsentryexplode											1	0		none												SQ	SQ	xx											1															1																								1										par1	damage %	par2	damage %	50	fire %	par8 + skill('Fire Trauma'.blvl)/3	shots fired	10	% of base monster HP min damage	25	% of base monster HP max damage	10	radius (half squares)	1	additional radius/level (half squares)							5	Shots Fired	1								8															fire																						0
sentry lightning	313													sentrylightningbolt																																																																																		sentrylightningbolt													1	0		none												SQ	SQ	xx																	1									1																								1																par8	shots fired	10	minimum damage	20	max damage	4	increase in dam/level (min & max)									10	Shots Fired	1								8																																					0
fenris rage	314				137																	fenris_rage		par1		damagepercent	par2																																																						necromancer_corpseexp_1										51	79					corpseexplosion												1	0		none												A1	A1	A1											1						1									1																								1																		500	rage duration - see fenris rage	100	% damage with rage - see fenris rage													1								8																																					0
Baal Tentacle	315				140																																																																																																								1	0		none												S2	S2	S2				1																						1																								1																			?		?		?		?									1																																													0
Baal Nova	316				22												baal nova																																																												baal_novacast											fire_cast_2				25					baal nova												1	0		none												S3	S3	S3																										1																								1																																		1								8															fire	50	24	32	32	32	32	75	24	32	32	32	32										0
Baal Inferno	317			53	95												baal inferno																																																												baal_missilecast															54					baal inferno												1	0		none												SQ	SQ	xx																										1																								1												par1	length of fire	2	density			20	frame length						?									1								5															mag	64	48	48	48	48	48	96	48	48	48	48	48										0
Baal Cold Missiles	318				139												baal cold maker																																																												baal_coldtrailcast															81					baal cold maker												1	0		none												A1	A1	A1				1																						1																								1																																		1								8															cold	20	9	13	13	13	13	40	9	13	13	13	13		200	50	50	50					0
MegademonInferno	319			53	95												megademoninferno																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	S1																										1																								1												par1	length of fire	2	density			15	frame length															1								8																																					0
EvilHutSpawner	320			49	91															spawnedflames																																																																							36	50																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
CountessFirewall	321				24												countessfirewallmaker	countessfirewall																																																											sorceress_cast_fire															26					countessfirewallmaker												1	0		none												SQ	SQ	A1																										1																								1																																		1																																													0
ImpBolt	322				17												imp charged bolt																																																																											23					imp charged bolt												1	0		none												SQ	SQ	A1																										1																								1										lvl+2	#bolts																							1								8																																					0
Horror Arctic Blast	323			53	95												frozenhorror arcticblast1																																																																											54					frozenhorror arcticblast1	frozenhorror arcticblast1											1	0		none												SQ	SQ	xx	18																									1																								1												par1	length of fire	2	density			15	frame length															1								8																																					0
death sentry ltng	324													sentrylightningbolt2																																																																																		sentrylightningbolt2													1	0		none												SQ	SQ	xx																	1									1																								1																																5	Shots Fired	1								8																																					0
VineCycler	325			63													vine recycler delay								10																																																																		49		93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1															1																								1										dm12	mana steal							1	min % mana steal	8	max % mana steal													1								8																																					0
BearSmite	326			32	2																																																																								druidbear_attack_1																																1	9		h2h												S1	S1	xx				1		1	1																			1																																		ln34	damage %	"max(250,ln12)"	stunlen					15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level									1				8				8																																					0
Resurrect2	327				97																																																																																			healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1					1										1																								1																																		1																																													0
BloodLordFrenzy	328			37	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																														weapon_giant_1		1		weapon_giant_1																												1	3		none												SQ	SQ	A2				1		1	1																			1																								1																		200	duration	25	duration/level	30	min % speed increase	110	max % speed increase									1	10	10						8	128																																				0
Baal Teleport	329				98																																																																																						48	73						baalteleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Imp Teleport	330				129																	attached																																																							sorceress_teleport														48	74					imp teleport	imp teleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Baal Clone Teleport	331				98																																																																																						48	73					baalclonedeath	baalteleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
ZakarumLightning	332													monsterlight																																																															sorceress_cast_lightning											light_cast_1								monsterlight													1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
VampireMissile	333													firehead																																																																																		firehead													1	0		none												SC	SC	SC																										1																								1																																		1								8																																					0
MephistoMissile	334													mephisto																																																																																		mephisto													1	0		none												SC	SC	A2																										1																								1																																		1								8																																					0
DoomKnightMissile	335				148												undeadmissile1																																																																											94					undeadmissile1												1	0		none												SC	SC	S1																										1																								1																																		1								8																																					0
RogueMissile	336				110												rogue1																																																																											66					rogue1												1	0		none												A1	A1	A1																										1																								1																																		1								8																																					0
HydraMissile	337													hydra																																																																																		hydra													1	0		none												SC	SC	SC																										1																								1																																		1								8																																					0
NecromageMissile	338				149												necromage1																																																																											95					necromage1												1	0		none												SC	SC	A1																										1																								1																																		1								8																																					0
MonBow	339			4										cr_arrow6																																																																													11					cr_arrow6													1	0		rng												A1	A1	A1				1																						1																								1																																		1								8	128																																				0
MonFireArrow	340			4										firearrow																																																																													11					firearrow													1	0		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														fire	1	8	8	8	8	8	4	9	9	9	9	9										0
